id1,id2,Length,Loading,Cost,Geom
19201.0,19322.0,330809.223,0.002,3308092.2319726218,"MULTILINESTRING ((1100633.292680199 309398.1453280671, 1100548.904920914 309448.2329959564), (1100548.904920914 309448.2329959564, 1100539.272588808 309473.7670930796), (1100539.272588808 309473.7670930796, 1100490.580583527 309537.1534397189), (1100490.580583527 309537.1534397189, 1100493.978284038 309561.168531785), (1100493.978284038 309561.168531785, 1100453.232437239 309626.0449215767), (1100453.232437239 309626.0449215767, 1100442.347200249 309648.0960100344))"
19322.0,19365.0,622082.893,0.001,6220828.927032086,"MULTILINESTRING ((1100117.60287311 309575.6121485168, 1100101.225603491 309602.4958180982), (1100117.60287311 309575.6121485168, 1100137.624163888 309593.4608111892), (1100328.565646483 309581.8802629309, 1100184.104494488 309625.1962077715), (1100328.565646483 309581.8802629309, 1100442.347200249 309648.0960100344), (1100166.400020832 309595.4704128491, 1100137.624163888 309593.4608111892), (1100166.400020832 309595.4704128491, 1100184.104494488 309625.1962077715), (1100101.225603491 309602.4958180982, 1100042.212044019 309624.485291863), (1100042.212044019 309624.485291863, 1100057.171442077 309668.5080095215), (1100057.171442077 309668.5080095215, 1100006.999491262 309723.1853318226), (1100006.999491262 309723.1853318226, 1100019.286874325 309755.0960916761))"
15884.0,19257.0,74287.026,0.006,742870.2586526552,"MULTILINESTRING ((1101489.338025109 309522.7808786841, 1101454.539108283 309534.2930314699), (1101454.539108283 309534.2930314699, 1101418.065313471 309543.5628180212))"
19257.0,19258.0,372876.442,0.005,3728764.4185349317,"MULTILINESTRING ((1101489.338025109 309522.7808786841, 1101566.105714141 309549.7681303598), (1101739.663996425 309531.3332020022, 1101727.612791391 309542.8097551362), (1101727.612791391 309542.8097551362, 1101723.679358591 309553.1884307852), (1101601.305016815 309544.4621587764, 1101604.485901342 309580.8977827285), (1101601.305016815 309544.4621587764, 1101583.708772742 309549.2631378937), (1101583.708772742 309549.2631378937, 1101566.105714141 309549.7681303598), (1101723.679358591 309553.1884307852, 1101726.904982011 309570.7844644483), (1101681.752727054 309569.0493516897, 1101630.420136067 309580.1041611156), (1101681.752727054 309569.0493516897, 1101689.261442418 309599.4919986115), (1101726.904982011 309570.7844644483, 1101715.905475614 309583.2111894093), (1101604.485901342 309580.8977827285, 1101630.420136067 309580.1041611156), (1101715.905475614 309583.2111894093, 1101717.221931609 309600.626452025), (1101702.452328593 309595.2435559676, 1101689.261442418 309599.4919986115), (1101702.452328593 309595.2435559676, 1101717.221931609 309600.626452025))"
19258.0,19180.0,426017.907,0.004,4260179.070248723,"MULTILINESTRING ((1101983.052960742 309350.7821982359, 1101943.146775007 309373.9292828253), (1101943.146775007 309373.9292828253, 1101907.664388017 309381.3301357661), (1101907.664388017 309381.3301357661, 1101927.529950645 309413.7704801098), (1101927.529950645 309413.7704801098, 1101895.654886413 309427.8146951415), (1101895.654886413 309427.8146951415, 1101845.005899947 309480.9017949047), (1101781.570898607 309473.5646356687, 1101742.826035082 309492.8676223776), (1101781.570898607 309473.5646356687, 1101798.353847805 309505.3464436231), (1101845.005899947 309480.9017949047, 1101840.038750027 309516.8555692057), (1101742.826035082 309492.8676223776, 1101740.195698588 309515.5732154113), (1101798.353847805 309505.3464436231, 1101840.038750027 309516.8555692057), (1101740.195698588 309515.5732154113, 1101739.663996425 309531.3332020022))"
19180.0,19198.0,98419.282,0.001,984192.8190744396,"MULTILINESTRING ((1101983.052960742 309350.7821982359, 1102028.158909954 309371.7097551475), (1102028.158909954 309371.7097551475, 1102019.899020257 309397.8491983385), (1102019.899020257 309397.8491983385, 1102041.064440308 309400.0690958314))"
19469.0,19491.0,331174.648,-0.001,3311746.481256118,"MULTILINESTRING ((1102336.162341739 310028.5457140671, 1102297.934334351 310035.8570804163), (1102336.162341739 310028.5457140671, 1102362.435536095 310024.0517344106), (1102218.127112258 310025.1657760075, 1102188.116292565 310046.9062669842), (1102218.127112258 310025.1657760075, 1102248.299447135 310032.5041272225), (1102248.299447135 310032.5041272225, 1102251.237638106 310053.0656479928), (1102297.934334351 310035.8570804163, 1102294.818971612 310050.4690347572), (1102188.116292565 310046.9062669842, 1102167.511743584 310055.0739190186), (1102294.818971612 310050.4690347572, 1102291.302379007 310074.490966859), (1102251.237638106 310053.0656479928, 1102221.212153536 310068.7424858066), (1102221.212153536 310068.7424858066, 1102247.685967412 310090.2561355399), (1102291.302379007 310074.490966859, 1102268.633532511 310087.7305940115), (1102247.685967412 310090.2561355399, 1102268.633532511 310087.7305940115))"
19491.0,15904.0,86497.12,-0.002,864971.1957665577,"MULTILINESTRING ((1102139.317002038 310037.175990684, 1102124.582117174 310041.5381136267), (1102139.317002038 310037.175990684, 1102156.159635535 310042.3766434934), (1102124.582117174 310041.5381136267, 1102106.249038117 310051.3223649012), (1102156.159635535 310042.3766434934, 1102167.511743584 310055.0739190186), (1102106.249038117 310051.3223649012, 1102095.76232163 310062.9932714268))"
19201.0,19228.0,113348.823,0.001,1133488.230274503,"MULTILINESTRING ((1100633.292680199 309398.1453280671, 1100663.524557277 309438.2371575129), (1100663.524557277 309438.2371575129, 1100725.509897149 309450.2363326825))"
19332.0,19375.0,559628.436,-0.001,5596284.364744535,"MULTILINESTRING ((1103931.692448651 309656.408225152, 1103901.345553992 309702.5411086318), (1103931.692448651 309656.408225152, 1103974.107002329 309687.7125753495), (1103681.848872035 309690.1624572576, 1103768.804474685 309744.6516048447), (1103681.848872035 309690.1624572576, 1103670.196184553 309709.9316019596), (1103901.345553992 309702.5411086318, 1103866.349571999 309713.722738884), (1103670.196184553 309709.9316019596, 1103622.983825661 309735.3518000999), (1103866.349571999 309713.722738884, 1103786.538744968 309757.7589712367), (1103622.983825661 309735.3518000999, 1103598.363980924 309776.4125353627), (1103768.804474685 309744.6516048447, 1103786.538744968 309757.7589712367), (1103598.363980924 309776.4125353627, 1103524.628001794 309788.2886028762))"
19375.0,19503.0,459154.912,0.001,4591549.115085485,"MULTILINESTRING ((1103524.628001794 309788.2886028762, 1103529.193140918 309861.2457065722), (1103529.193140918 309861.2457065722, 1103540.412967698 309881.5873703887), (1103540.412967698 309881.5873703887, 1103556.527059313 309956.292533822), (1103556.527059313 309956.292533822, 1103533.417504989 309961.1442344498), (1103533.417504989 309961.1442344498, 1103528.023686792 309981.384658571), (1103528.023686792 309981.384658571, 1103554.25797879 310020.7088738691), (1103554.25797879 310020.7088738691, 1103568.792793857 310043.145019385), (1103606.490798734 310024.8320803879, 1103700.059572923 310078.4549293062), (1103606.490798734 310024.8320803879, 1103586.822592138 310030.0646137109), (1103586.822592138 310030.0646137109, 1103568.792793857 310043.145019385), (1103700.059572923 310078.4549293062, 1103705.255331821 310095.0234329142))"
16645.0,16837.0,273840.177,0.002,2738401.770331799,"MULTILINESTRING ((1103233.410852307 312387.5188838473, 1103218.844713547 312364.5475744786), (1103218.844713547 312364.5475744786, 1103181.444537436 312357.8308711496), (1103181.444537436 312357.8308711496, 1103167.675962592 312354.4908394158), (1103167.675962592 312354.4908394158, 1103140.505080013 312339.4924294747), (1103140.505080013 312339.4924294747, 1103085.490296168 312321.3956041921), (1103085.490296168 312321.3956041921, 1102984.777422124 312320.191511764))"
16837.0,20066.0,241877.179,0.001,2418771.7876212457,"MULTILINESTRING ((1102984.777422124 312320.191511764, 1102978.073281627 312339.1270169076), (1102967.512576403 312368.3562007967, 1102978.073281627 312339.1270169076), (1102967.512576403 312368.3562007967, 1102967.622261286 312378.9661573331), (1102967.622261286 312378.9661573331, 1102961.530501429 312411.082551637), (1102961.530501429 312411.082551637, 1102954.080694355 312449.4745240462), (1102954.080694355 312449.4745240462, 1102953.284584687 312499.8563683308), (1102953.284584687 312499.8563683308, 1102952.379731198 312509.2889749001), (1102952.379731198 312509.2889749001, 1102941.439166207 312519.1698432547), (1102911.969241278 312510.5868846297, 1102941.439166207 312519.1698432547))"
16645.0,15577.0,287423.912,-0.003,2874239.11541991,"MULTILINESTRING ((1103319.02050573 312459.0013504915, 1103324.952561095 312471.2299209777), (1103319.02050573 312459.0013504915, 1103314.987585891 312424.7901834573), (1103314.987585891 312424.7901834573, 1103259.695494009 312401.9269108275), (1103259.695494009 312401.9269108275, 1103233.410852307 312387.5188838473), (1103381.977553105 312507.7820639097, 1103393.946022321 312507.8378497834), (1103381.977553105 312507.7820639097, 1103353.322252674 312488.020915633), (1103353.322252674 312488.020915633, 1103324.952561095 312471.2299209777), (1103454.369946495 312523.8848862525, 1103393.946022321 312507.8378497834))"
15577.0,19022.0,407761.218,-0.004,4077612.17565485,"MULTILINESTRING ((1103495.905130481 312849.8469419308, 1103546.398498197 312830.166453358), (1103471.788853006 312641.4619408889, 1103501.039153657 312660.0440525457), (1103471.788853006 312641.4619408889, 1103462.343906489 312611.9718080363), (1103462.343906489 312611.9718080363, 1103472.662368972 312582.573836423), (1103472.662368972 312582.573836423, 1103467.447079896 312545.0718350032), (1103467.447079896 312545.0718350032, 1103454.369946495 312523.8848862525), (1103546.398498197 312830.166453358, 1103543.005043446 312781.3002078269), (1103543.005043446 312781.3002078269, 1103550.797370844 312747.8048420352), (1103540.622280214 312714.3652432021, 1103550.797370844 312747.8048420352), (1103540.622280214 312714.3652432021, 1103524.292900085 312684.2473268845), (1103524.292900085 312684.2473268845, 1103501.039153657 312660.0440525457))"
