ID1,ID2,Length,Cost,Cluster,geometry,Conn_param
15886,15885,52.655340892835,526553.40892835,1,"LINESTRING (1101520.968702034 309607.5799883853, 1101478.213514602 309576.9328934069)",1
15886,15887,72.60363008573701,726036.3008573701,1,"LINESTRING (1101520.968702034 309607.5799883853, 1101576.187434581 309654.7195071803)",1
15888,15887,43.440274751947,434402.74751947,1,"LINESTRING (1101608.092888339 309684.2000005795, 1101576.187434581 309654.7195071803)",1
15888,15889,55.608917637867,556089.17637867,1,"LINESTRING (1101608.092888339 309684.2000005795, 1101645.033715912 309725.6809860183)",1
15893,15892,34.806164546994,348061.64546994,1,"LINESTRING (1101707.54534276 309853.354283607, 1101692.652277288 309821.895331124)",2
15893,15894,30.095639878665,300956.39878665,1,"LINESTRING (1101707.54534276 309853.354283607, 1101725.936916817 309876.9748143878)",2
16487,16488,32.814695406780004,328146.9540678,1,"LINESTRING (1104100.877627155 311458.1203254901, 1104092.541819389 311489.8359701407)",56
16487,16570,29.648756990734,296487.56990734,1,"LINESTRING (1104100.877627155 311458.1203254901, 1104071.504493271 311455.7221949366)",56
16488,16489,32.375305052556,323753.05052556,1,"LINESTRING (1104092.541819389 311489.8359701407, 1104104.569363072 311519.4871811505)",56
16489,16490,41.48658135326,414865.8135326,1,"LINESTRING (1104104.569363072 311519.4871811505, 1104104.639414115 311560.7533611768)",56
16490,16491,43.319639034575005,433196.39034575,1,"LINESTRING (1104104.639414115 311560.7533611768, 1104099.676093879 311603.7550852512)",56
16491,19813,17.54695182536484,175469.5182536484,1,"LINESTRING (1104099.676093879 311603.7550852512, 1104117.159185511 311602.2594163868)",56
15900,15899,48.372179463352,483721.79463351995,1,"LINESTRING (1101947.106467861 310017.683236778, 1101899.832934586 310009.0615176391)",2
15900,15901,32.349903010062,323499.03010062,1,"LINESTRING (1101947.106467861 310017.683236778, 1101979.276980689 310020.1023990416)",2
15907,15906,42.746279321700996,427462.79321701,1,"LINESTRING (1102229.523033798 310107.7788966022, 1102188.249965932 310096.6533285376)",3
15907,15908,56.437526774647004,564375.26774647,1,"LINESTRING (1102229.523033798 310107.7788966022, 1102283.64064906 310123.7938317172)",3
16570,16571,31.89593586114,318959.3586114,1,"LINESTRING (1104071.504493271 311455.7221949366, 1104040.087932202 311452.0395554678)",56
16571,16572,47.329370312159,473293.70312159,1,"LINESTRING (1104040.087932202 311452.0395554678, 1103993.127958586 311446.2837165961)",57
16572,16573,61.950533646923006,619505.33646923,1,"LINESTRING (1103993.127958586 311446.2837165961, 1103933.810368364 311429.5351175445)",57
16573,16574,35.406652507026,354066.52507026005,1,"LINESTRING (1103933.810368364 311429.5351175445, 1103911.251803998 311402.5805253679)",57
16574,16575,46.429832144063,464298.32144063,1,"LINESTRING (1103911.251803998 311402.5805253679, 1103886.65477591 311363.2013999059)",57
16575,16576,39.463570300382,394635.70300382003,1,"LINESTRING (1103886.65477591 311363.2013999059, 1103863.06985677 311331.5608409664)",57
16576,16577,54.245076855703,542450.76855703,1,"LINESTRING (1103863.06985677 311331.5608409664, 1103832.20848774 311286.9502562956)",57
16577,16578,77.144413268108,771444.1326810799,1,"LINESTRING (1103832.20848774 311286.9502562956, 1103788.708886242 311223.2396200722)",57
16578,16579,79.586580405797,795865.80405797,1,"LINESTRING (1103788.708886242 311223.2396200722, 1103745.034369813 311156.8758780871)",57
16579,16724,30.373237704865,303732.37704865,1,"LINESTRING (1103745.034369813 311156.8758780871, 1103718.910670247 311172.1570506321)",29
16579,19696,26.059584937834174,260595.84937834175,1,"LINESTRING (1103745.034369813 311156.8758780871, 1103767.971197499 311144.5064034479)",30
15914,15913,39.743774186325,397437.74186325,1,"LINESTRING (1102570.267852763 310244.5381649582, 1102532.063271651 310233.5847377045)",4
15914,15915,44.311784751173,443117.84751173,1,"LINESTRING (1102570.267852763 310244.5381649582, 1102612.722258667 310257.2329547229)",4
16589,16590,47.455364673937005,474553.6467393701,1,"LINESTRING (1103222.712707737 310598.8496016525, 1103190.758553972 310563.7647944914)",7
16589,19628,49.932823835570595,499328.2383557059,1,"LINESTRING (1103222.712707737 310598.8496016525, 1103188.901312237 310635.5929878677)",7
16590,16591,50.819927527914,508199.27527914,1,"LINESTRING (1103190.758553972 310563.7647944914, 1103157.021170439 310525.7588214577)",7
16591,16592,44.283776245232,442837.76245231996,1,"LINESTRING (1103157.021170439 310525.7588214577, 1103126.46599939 310493.7052044894)",7
16592,16593,44.356545459214,443565.45459214,1,"LINESTRING (1103126.46599939 310493.7052044894, 1103097.508828407 310460.1048269062)",7
16593,16594,51.250908366283,512509.08366283,1,"LINESTRING (1103097.508828407 310460.1048269062, 1103064.300195165 310421.0684043433)",7
16594,15926,52.436708621032004,524367.08621032,1,"LINESTRING (1103064.300195165 310421.0684043433, 1103029.89619406 310381.4960261105)",7
16642,16846,13.59143910665,135914.39106650001,1,"LINESTRING (1103319.02050573 312459.0013504915, 1103324.952561095 312471.2299209777)",23
16642,16643,37.047846847512,370478.46847511997,1,"LINESTRING (1103319.02050573 312459.0013504915, 1103314.987585891 312424.7901834573)",23
16643,16644,59.870984299553,598709.84299553,1,"LINESTRING (1103314.987585891 312424.7901834573, 1103259.695494009 312401.9269108275)",23
16644,16645,31.191939166974,311919.39166973997,1,"LINESTRING (1103259.695494009 312401.9269108275, 1103233.410852307 312387.5188838473)",23
16645,16646,30.664415856644997,306644.15856644994,1,"LINESTRING (1103233.410852307 312387.5188838473, 1103218.844713547 312364.5475744786)",21
16646,16647,37.998870199893005,379988.7019989301,1,"LINESTRING (1103218.844713547 312364.5475744786, 1103181.444537436 312357.8308711496)",21
16647,16648,14.167902640389,141679.02640389,1,"LINESTRING (1103181.444537436 312357.8308711496, 1103167.675962592 312354.4908394158)",21
16648,16734,32.363583130507,323635.83130507,1,"LINESTRING (1103167.675962592 312354.4908394158, 1103140.505080013 312339.4924294747)",21
16652,16817,42.498316519370725,424983.1651937073,1,"LINESTRING (1100585.318078807 311476.1482909038, 1100626.689706289 311485.8691625983)",44
16652,16653,27.17299374223,271729.9374223,1,"LINESTRING (1100585.318078807 311476.1482909038, 1100583.561780466 311449.2080292138)",44
16653,16654,31.885983453655,318859.83453655,1,"LINESTRING (1100583.561780466 311449.2080292138, 1100588.899516978 311418.0011034412)",44
16654,16655,31.924107112714996,319241.07112715,1,"LINESTRING (1100588.899516978 311418.0011034412, 1100578.148721579 311393.4854037813)",44
16655,16656,31.368263985023003,313682.63985023,1,"LINESTRING (1100578.148721579 311393.4854037813, 1100566.920451331 311366.9945921661)",44
16656,16657,31.756016448461004,317560.16448461,1,"LINESTRING (1100566.920451331 311366.9945921661, 1100577.415071756 311337.616905211)",44
16657,16658,30.964783816594,309647.83816594,1,"LINESTRING (1100577.415071756 311337.616905211, 1100564.947792353 311309.9198780676)",44
