Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
34.0,0.0,646,0.8146561153514964,1.468001207190273,14680.01207190273,0.47781645989305466,50,1500
34.0,1.0,492,0.6201893086476369,0.8262645443499792,8262.645443499792,0.5258927653035064,50,1500
34.0,2.0,84,0.10591059469961904,0.5306830107524126,5306.830107524127,0.4660905519277273,50,1500
34.0,3.0,472,0.5952084677069036,0.7659243700656672,7659.243700656672,0.4664374691341898,50,1500
34.0,4.0,689,0.8677931558763659,1.3480828222135484,13480.828222135482,0.375704219902806,50,1500
34.0,5.0,108,0.13575780593597137,0.6177336951643085,6177.336951643085,0.3196881085593627,50,1500
34.0,6.0,213,0.2678235452669161,0.44381533512790133,4438.153351279014,0.28407324498696296,50,1500
