Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
14.0,0.0,610,0.768559199152766,1.224131729370966,12241.31729370966,0.5499708747102477,50,1500
14.0,1.0,805,1.014113061406591,0.9692241907462371,9692.241907462372,0.4879484423053566,50,1500
14.0,2.0,860,1.0841883021861582,1.97367030541107,19736.7030541107,0.4970325635472839,50,1500
14.0,3.0,606,0.7632600810076738,1.097153907454018,10971.539074540182,0.4465227015592675,50,1500
14.0,4.0,194,0.24399659835540496,0.801840696500618,8018.406965006179,0.360921837616971,50,1500
14.0,5.0,234,0.294341044383006,0.6454063996891621,6454.063996891621,0.367557428557347,50,1500
14.0,6.0,375,0.47262234610480225,0.6292477552361025,6292.477552361025,0.35838539390578056,50,1500
14.0,7.0,604,0.7613573467838871,1.0994121139462976,10994.121139462975,0.3340224099261551,50,1500
14.0,8.0,350,0.4410746400850313,0.7908197800619121,7908.197800619121,0.35360342189480126,50,1500
