id1,id2,power
15876.0,15884.0,-0.004
15884.0,19376.0,-0.009600000000000001
19376.0,15904.0,-0.0128
15904.0,15908.0,-0.015200000000000002
15908.0,15918.0,-0.016
15918.0,15923.0,0.009600000000000001
15923.0,15925.0,0.005600000000000001
15925.0,19624.0,0.0008
15876.0,19202.0,0.0008
15876.0,19201.0,0.0032
19201.0,19322.0,0.0024000000000000002
19322.0,19365.0,0.0008
15884.0,19257.0,0.005600000000000001
19257.0,19258.0,0.0048000000000000004
19258.0,19180.0,0.004
19180.0,19198.0,0.0008
19469.0,19491.0,-0.0008
19491.0,15904.0,-0.0024000000000000002
19201.0,19228.0,0.0008
19332.0,19375.0,-0.0008
19375.0,19503.0,0.0008
16645.0,16837.0,0.0024000000000000002
16837.0,20066.0,0.0008
16645.0,15577.0,-0.0032
15577.0,19022.0,-0.004
19022.0,18085.0,-0.14160000000000053
18085.0,20309.0,0.0008
16775.0,16776.0,0.0008
16775.0,19706.0,0.004
19706.0,16579.0,0.0032
16579.0,19673.0,0.0008
16775.0,15925.0,-0.0048000000000000004
19341.0,19375.0,0.0016
19341.0,19474.0,-0.0024000000000000002
19474.0,19481.0,-0.0032
19481.0,15923.0,-0.004
19341.0,19214.0,0.0008
19729.0,16757.0,-0.0016
16757.0,16702.0,0.0272
16702.0,16714.0,0.0264
16714.0,15918.0,0.0256
19729.0,19651.0,0.0008
19858.0,19048.0,-0.0024000000000000002
19048.0,19863.0,0.0008
19858.0,19695.0,0.0016
19224.0,19257.0,-0.0008
19481.0,19291.0,0.0008
19868.0,16828.0,-0.0008
16828.0,16837.0,-0.0016
20125.0,20172.0,0.008
20125.0,20075.0,0.0008
20125.0,19037.0,-0.0088
19037.0,19038.0,0.035199999999999995
19038.0,16680.0,0.0336
16680.0,16746.0,0.0304
16746.0,16824.0,0.0016
19874.0,16571.0,-0.0008
16571.0,16579.0,-0.0024000000000000002
15908.0,19540.0,0.0008
18085.0,20189.0,-0.14240000000000053
20189.0,20151.0,0.0032
20151.0,20192.0,0.0008
20133.0,19032.0,-0.0008
19032.0,20189.0,-0.0456
20007.0,20151.0,-0.0024000000000000002
20007.0,19950.0,0.0008
16680.0,19048.0,0.0032
19117.0,19123.0,-0.0008
19123.0,19150.0,-0.0016
19150.0,19167.0,-0.0024000000000000002
19167.0,19180.0,-0.0032
19118.0,19123.0,-0.0008
19376.0,19388.0,0.0032
19388.0,19393.0,0.0016
19168.0,19167.0,-0.0008
19426.0,19547.0,0.0008
19426.0,19388.0,-0.0016
19911.0,16828.0,-0.0008
16746.0,16757.0,0.0288
19149.0,19150.0,-0.0008
19022.0,20219.0,0.0016
20219.0,20340.0,0.0008
19032.0,19034.0,0.0448
19034.0,19037.0,0.044
19034.0,20059.0,0.0008
20993.0,21041.0,-0.015200000000000003
21041.0,17652.0,-0.016000000000000004
17652.0,18967.0,-0.04000000000000001
18967.0,18974.0,-0.12639999999999998
18974.0,21056.0,0.0024000000000000002
21056.0,20987.0,0.0016
20987.0,20959.0,0.0008
20993.0,20953.0,0.014400000000000003
21387.0,21448.0,-0.0768
21448.0,21463.0,-0.07999999999999999
21463.0,21322.0,-0.08159999999999999
21322.0,21189.0,-0.08239999999999999
21189.0,21142.0,-0.08319999999999998
