Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
15.0,0.0,915,1.1530279008332673,1.6555494365071757,16555.494365071758,0.5305079225059633,50,1500
15.0,1.0,553,0.6973785276670713,0.5253801337383448,5253.801337383448,0.21803354318218382,50,1500
15.0,2.0,572,0.7211669213922173,0.8337784788774122,8337.784788774123,0.35646215964526684,50,1500
15.0,3.0,122,0.15288995330398145,0.30107085449198134,3010.708544919813,0.258847248366754,50,1500
