Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
4.0,0.0,582,0.7335263064960101,1.5012332473791414,15012.332473791415,0.4878451990024739,50,1500
4.0,1.0,242,0.3046900970871384,0.7326765615965436,7326.765615965436,0.33592384454612195,50,1500
4.0,2.0,1402,1.7673463886707752,2.0662000403799974,20662.000403799975,0.5399615408195376,50,1500
4.0,3.0,237,0.2986420725916957,0.6551282269844305,6551.282269844305,0.33978334574952157,50,1500
4.0,4.0,297,0.373970921146977,0.7847771991613204,7847.771991613204,0.31075311640085373,50,1500
4.0,5.0,137,0.17189422280938774,0.31998649829688736,3199.864982968874,0.23467835604128207,50,1500
