Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
37.0,0.0,614,0.774071151286632,1.6139963444152488,16139.963444152487,0.6364405194006345,50,1500
37.0,1.0,444,0.5593326709506747,0.8305213913765842,8305.213913765841,0.519467924462384,50,1500
37.0,2.0,527,0.6640834368456591,1.8665592413149863,18665.592413149865,0.47135215593635676,50,1500
37.0,3.0,315,0.397055736060615,1.0461582703111196,10461.582703111197,0.49393488891395837,50,1500
37.0,4.0,343,0.43145547935554573,1.0661594506685688,10661.594506685688,0.3447660921211174,50,1500
37.0,5.0,544,0.6858019266901789,1.168868707487076,11688.68707487076,0.5344867104196684,50,1500
37.0,6.0,467,0.5877520755389789,0.589864191500308,5898.64191500308,0.2666659300995433,50,1500
37.0,7.0,757,0.9541879500999106,0.913727782363289,9137.27782363289,0.27451966795098376,50,1500
