Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
38.0,0.0,992,1.2507209076752532,1.2563631122775698,12563.631122775698,0.4819379236188083,50,1500
38.0,1.0,459,0.5785778894510355,0.5824535255629669,5824.535255629669,0.2633782832986464,50,1500
38.0,2.0,621,0.7829328559325621,0.8216249137742284,8216.249137742283,0.4353861035582353,50,1500
38.0,3.0,382,0.4817133310678843,0.4947363221913917,4947.363221913917,0.2304199247118642,50,1500
