id1,id2,power
19022,16511,0.13599999999999998
20172,22450,0.0072
20189,22931,-0.19120000000000054
20458,20751,-0.0088
20503,20581,-0.0024000000000000002
20527,20669,0.005600000000000001
16551,20953,-0.013600000000000003
20698,20935,0.0016
20735,21533,-0.011200000000000002
20815,22399,-0.0032
20869,22367,-0.0024000000000000002
20901,18995,-0.0024000000000000002
21035,22072,-0.1336
17652,22149,0.0176
21407,23278,0.0704
17646,17631,0.0048000000000000004
21741,22969,0.19840000000000052
15788,23062,-0.23760000000000048
22035,25022,0.004
18951,22514,0.008800000000000002
22303,22450,-0.004
22367,22996,-0.004
22428,22533,-0.006400000000000001
16097,23021,0.005600000000000001
22813,23810,0.014400000000000003
22969,23591,0.004
23226,24237,0.043200000000000016
23278,18108,0.06720000000000001
18098,23961,0.0632
23577,15951,-0.0008
23705,23879,0.0024000000000000002
23794,17123,-0.0088
23848,25441,0.009600000000000001
23937,23961,-0.005600000000000001
15951,24070,0.0024000000000000002
17348,25190,0.052800000000000014
24396,25300,0.0024000000000000002
16181,25667,0.020800000000000003
15852,15789,-0.006400000000000001
24957,25479,0.0024000000000000002
24980,15107,-0.0064
25028,25325,0.0016
17858,25531,0.04320000000000001
25410,25582,-0.012800000000000002
25458,25628,0.007200000000000001
25521,25628,-0.0016
15190,16301,0.019200000000000002
25647,25868,0.004
25689,25894,0.0048000000000000004
25829,25868,-0.0032
25972,26271,-0.0016
17297,18269,0.0016
16301,26271,0.012800000000000002
15408,26303,0.007200000000000001
26303,18564,0.0048000000000000004
26303,26449,0.0008
26379,26433,-0.0024000000000000002
16087,26499,-0.0352
23062,26498,-0.2872000000000005
23408,26499,-0.0016
26488,26497,-0.0024000000000000002
