index,voltage [p.u]
15876.0,0.9450168500749105
15884.0,0.9450691720883387
15904.0,0.9454731576358507
15908.0,0.9455900765476762
15923.0,0.9457872172435399
16579.0,0.945498787315745
16680.0,0.9492443528810398
16746.0,0.948001568837829
16757.0,0.9474680558524575
16775.0,0.9456510221372744
16828.0,0.9457861239685814
16837.0,0.9458101870902036
19022.0,0.9459350611719795
19032.0,0.9513956508090609
19034.0,0.9507620419606326
19037.0,0.9500969433894955
15577.0,0.9458715717394263
15918.0,0.9458733402070181
15925.0,0.945772155767012
16571.0,0.9454575364946145
16645.0,0.9458357696469076
16702.0,0.9470445636895128
16714.0,0.9463729719345664
16776.0,0.9456499277626024
16824.0,0.9479955331904187
18085.0,0.9477610348945426
19038.0,0.9500306377464514
19048.0,0.9492246459021445
19117.0,0.9448579403943382
19118.0,0.9448708739424726
19149.0,0.9448785123817189
19168.0,0.9449082814124743
19198.0,0.9449139125311963
19202.0,0.9450159364466761
19214.0,0.9456413010476717
19224.0,0.9450497986211989
19228.0,0.9449508525673314
19258.0,0.9449833094008044
19291.0,0.9457057485411191
19322.0,0.9449234776161425
19332.0,0.9456313626122231
19341.0,0.9456577655157004
19365.0,0.9449041056463928
19393.0,0.9451629637352241
19426.0,0.9451852745002424
19469.0,0.945454764003505
19474.0,0.9457142423342165
19491.0,0.9454650769462665
19503.0,0.9456344914076121
19540.0,0.9455858788323402
19547.0,0.9451704799466647
19624.0,0.9457563326596333
19651.0,0.9474405930832999
19673.0,0.9454938653987557
19695.0,0.9491178395301739
19706.0,0.9455858840736022
19729.0,0.9474647344559848
19858.0,0.9491678361527285
19863.0,0.9492128940066817
19868.0,0.9457725431099328
19874.0,0.9454359532414115
19911.0,0.9457772347995226
19950.0,0.9519244086699079
20007.0,0.9519355222078184
20059.0,0.950756837555745
20066.0,0.9458026549149179
20075.0,0.949962449342565
20133.0,0.9513915016335203
20151.0,0.9519927838324208
20172.0,0.9499257946634112
20192.0,0.951980044066656
20219.0,0.9459318095713636
20309.0,0.947754100880998
20340.0,0.9459006667573043
19123.0,0.9448719337550022
19150.0,0.9448823087711374
19167.0,0.9449088579782546
19180.0,0.9449169773564379
19201.0,0.9449543823058865
19257.0,0.9450529787445848
19375.0,0.9456487897192366
19376.0,0.9451996603299703
19388.0,0.9451897474632707
19481.0,0.9457222088170263
20125.0,0.9499708408592336
20189.0,0.9520049176704591
20935.0,0.9266883902482358
17651.0,0.9282629084521722
17652.0,0.9282843735415884
18967.0,0.9283843230328106
18974.0,0.9305778156048732
18985.0,0.9340102465850657
17646.0,0.9281858897987363
18995.0,0.9364905466783495
20953.0,0.9272649044282971
20959.0,0.9305282966636957
20984.0,0.9305289335823614
20993.0,0.9277095538435824
21035.0,0.9391268745032879
21039.0,0.9340068425966495
21041.0,0.9278886446894653
21056.0,0.930564369740545
21142.0,0.9282997347255153
21202.0,0.9278020812835003
21306.0,0.9282502026068232
21320.0,0.9177846306106887
21322.0,0.9259521503074023
21333.0,0.9178030350449693
21407.0,0.9163163523676294
21448.0,0.9204518375521697
21460.0,0.9179667417784633
21463.0,0.9227805220152778
21488.0,0.9179261873192245
20987.0,0.9305378850124251
21189.0,0.927813732994788
21375.0,0.9178475900737288
21387.0,0.9179924296368386
15511.0,0.9738077952248716
15512.0,0.9783618809651152
15787.0,0.9997945684252293
15788.0,0.9998979797770016
17398.0,0.9645152089191436
17403.0,0.9677637446772168
17409.0,0.9704006693499366
17473.0,0.9737926841903826
17482.0,0.9736254054167262
17778.0,0.9969001330431619
17779.0,0.9961000271563558
17785.0,0.9855160522618048
17786.0,0.9848275284011813
17791.0,0.9798613094717343
21533.0,0.9995633085351953
21553.0,0.999876002487242
21556.0,0.9997927202647078
