Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
36.0,0.0,420,0.5287072259026604,0.9386252633988025,9386.252633988024,0.3208213199781762,50,1500
36.0,1.0,436,0.5488501579697067,1.3834182308894347,13834.182308894347,0.6474529123619494,50,1500
36.0,2.0,1215,1.5314331264324017,2.0583782574753298,20583.7825747533,0.49779157029822746,50,1500
36.0,3.0,1998,2.5198776148031423,2.9104510044596434,29104.510044596438,0.5045454036451009,50,1500
36.0,4.0,257,0.3228914374274176,1.0966457831336702,10966.457831336702,0.6118018189865203,50,1500
36.0,5.0,316,0.39782125352739217,0.9790058592918626,9790.058592918625,0.3946799252636174,50,1500
36.0,6.0,865,1.0900209102115115,1.9719716710066502,19719.716710066503,0.6440978828893512,50,1500
36.0,7.0,747,0.9410216135592073,1.739742781987697,17397.427819876968,0.46859467929368137,50,1500
36.0,8.0,655,0.8250516370824864,0.7289783870982548,7289.783870982547,0.3360290081451045,50,1500
36.0,9.0,197,0.2483339533075556,0.5348787227327035,5348.787227327035,0.33532175976574563,50,1500
36.0,10.0,324,0.40861147511112794,0.8704232815731039,8704.232815731038,0.3169745321464213,50,1500
36.0,11.0,692,0.8720447079770199,1.1989554905459558,11989.55490545956,0.44842802985186053,50,1500
36.0,12.0,425,0.534983552812456,0.9957896010191831,9957.896010191831,0.3611950928022039,50,1500
36.0,13.0,389,0.49062331139504367,0.40664092535418433,4066.4092535418436,0.1867787594506718,50,1500
36.0,14.0,466,0.5872439942918382,1.089721722836166,10897.21722836166,0.5158804279281216,50,1500
36.0,15.0,1704,2.14918206360963,1.6783697062796121,16783.69706279612,0.45343422505479286,50,1500
36.0,16.0,498,0.6275953550596495,0.7768321618218661,7768.321618218661,0.2650069077113097,50,1500
36.0,17.0,597,0.7526570839065688,0.8012543968585328,8012.543968585328,0.3805385428527982,50,1500
36.0,18.0,476,0.5991647917945105,0.6700420875008646,6700.420875008645,0.30058222466221457,50,1500
36.0,19.0,399,0.5030409749348957,0.7442976397286828,7442.976397286829,0.29963345734525804,50,1500
36.0,20.0,354,0.44578972051809496,0.7675685013681833,7675.685013681834,0.35117710310888184,50,1500
36.0,21.0,534,0.6726925574981414,0.758863800808336,7588.638008083361,0.4126228643202582,50,1500
36.0,22.0,81,0.1015704816526121,0.07697809069928127,769.7809069928127,0.0460545188125162,50,1500
