Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
54.0,0.0,821,1.0349635043444934,1.898638889375979,18986.388893759788,0.5241318127666754,50,1500
54.0,1.0,145,0.1822537870664854,1.157609955110154,11576.09955110154,0.5436572704748351,50,1500
54.0,2.0,560,0.7055228906923586,1.012580525411591,10125.805254115909,0.4183755494018329,50,1500
54.0,3.0,247,0.3107554580069877,0.5727471717063847,5727.471717063846,0.306715419568238,50,1500
54.0,4.0,187,0.23513451120874904,0.6130933756334026,6130.933756334026,0.2789539919289882,50,1500
54.0,5.0,385,0.4845711551700626,1.0654253458125098,10654.253458125098,0.31158251581515367,50,1500
54.0,6.0,521,0.6558972308871982,0.9621964171980911,9621.964171980911,0.3451490639159432,50,1500
