Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
12.0,0.0,808,1.0190163574562416,1.5117734609193072,15117.734609193072,0.6546468768551047,50,1500
12.0,1.0,992,1.250673295957548,1.2473709206786352,12473.709206786352,0.4360670978636593,50,1500
12.0,2.0,662,0.8341966268178579,1.5877561003068041,15877.561003068044,0.5255660165450385,50,1500
12.0,3.0,1026,1.2928323419244439,1.3332483038246494,13332.483038246493,0.5110952203156103,50,1500
12.0,4.0,1071,1.3505940808476629,1.8595801172560271,18595.80117256027,0.3984767162276009,50,1500
12.0,5.0,1283,1.6177240981711998,1.7496273870950159,17496.273870950157,0.41251794583295454,50,1500
12.0,6.0,439,0.5535204581527022,1.3445505644342908,13445.505644342908,0.5328960654098978,50,1500
12.0,7.0,381,0.47945004420237497,0.8727810637739701,8727.810637739702,0.3715755942918152,50,1500
12.0,8.0,1042,1.314083687722146,0.9792587900963517,9792.587900963517,0.5226200015579112,50,1500
12.0,9.0,578,0.7289819091934342,1.1002407966864287,11002.407966864286,0.4182070827106469,50,1500
12.0,10.0,749,0.9441720398911484,1.1030050342818007,11030.050342818009,0.4333810443648924,50,1500
12.0,11.0,668,0.8419566932884422,1.0753318196100548,10753.318196100548,0.39156268460743504,50,1500
12.0,12.0,1107,1.3962125644168337,1.3302230808457576,13302.230808457576,0.3368254454113621,50,1500
12.0,13.0,198,0.2489925028826739,0.5719875555350336,5719.875555350336,0.2727133378299276,50,1500
12.0,14.0,643,0.810821971377811,0.9824724762461473,9824.724762461472,0.37917535360291516,50,1500
12.0,15.0,355,0.44657932350227425,0.48519816062290994,4851.981606229099,0.27763613758689665,50,1500
12.0,16.0,395,0.4980071559253039,0.5688201679252433,5688.201679252433,0.19111975148310237,50,1500
12.0,17.0,400,0.5041184722625457,0.6921460354883004,6921.460354883004,0.3092018389760848,50,1500
12.0,18.0,372,0.4688207110843143,0.517226142393786,5172.26142393786,0.20265880112294207,50,1500
12.0,19.0,274,0.3454239525666108,0.5009478579042324,5009.478579042324,0.22930722653804683,50,1500
12.0,20.0,563,0.7091847794335168,0.6218005481141329,6218.005481141329,0.18378907375739661,50,1500
12.0,21.0,380,0.4789659233780594,0.5892763040884371,5892.763040884371,0.3433210160499692,50,1500
12.0,22.0,197,0.2476392838761613,0.3771589454108065,3771.589454108065,0.31143440013454443,50,1500
