Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
43.0,0.0,1119,1.4112616777849625,1.1812143236011328,11812.143236011327,0.48126049653960384,50,1500
43.0,1.0,735,0.9263707075033102,1.0383983864001496,10383.983864001495,0.39660654131333073,50,1500
43.0,2.0,626,0.7883742090173669,0.71281659513709,7128.165951370899,0.2820704938802672,50,1500
43.0,3.0,760,0.9584924544944419,0.5838671870368434,5838.671870368433,0.3061807448043256,50,1500
