id1,id2,Length,Loading,Cost,Geom
20869.0,22367.0,592.778,-0.002,26688.27950800525,"LINESTRING (1125975.674563907 312608.0439628639, 1126118.121246116 312864.7453569041, 1126209.850231445 313149.5393245475)"
20901.0,18995.0,641.02,-0.002,8508.203493961091,"LINESTRING (1105886.42114318 312358.4024115715, 1105727.827888551 312268.672145621, 1105663.905055728 312283.2678358863, 1105718.121246116 312464.7453569041, 1105656.454687824 312600.5648651722, 1105601.797791962 312601.6492825181)"
21035.0,22072.0,487.69,-0.134,4876.902669521709,"LINESTRING (1105244.37557663 312765.727373442, 1105265.206804663 312770.1209667167, 1105266.090367134 312738.0352721483, 1105261.979187388 312716.2387875833, 1105252.713186991 312633.0555395471, 1105214.869776991 312636.8711778558, 1105156.857513832 312645.1435418164, 1105033.28538414 312662.7884425967, 1105001.909753928 312620.4359060434, 1104985.046230857 312606.356299167, 1105010.543312505 312586.5474828924)"
17652.0,22149.0,857.605,0.018,8576.053191427769,"LINESTRING (1107134.942886759 313103.0776543166, 1107229.762671859 313128.8013845354, 1107295.554754559 313148.1437116998, 1107362.547481517 313166.9054048435, 1107623.102255999 313227.0358232143, 1107754.144012557 313253.8242122523, 1107741.720742019 313200.5183866175, 1107766.684807275 313161.1559965992, 1107819.940535404 313128.5796271621, 1107868.580053184 313100.2628719006)"
21407.0,23278.0,709.56,0.07,19774.14976474965,"LINESTRING (1104580.570521806 313853.4182619161, 1104518.121246116 314064.7453569041, 1104518.121246116 314264.7453569041, 1104403.796035386 314485.8899042109, 1104376.152024484 314456.6340169309)"
17646.0,17631.0,1249.328,0.005,13504.451213547358,"LINESTRING (1107101.75239698 313540.1883301313, 1107098.266570732 313580.9277622379, 1107093.504477772 313638.3209094352, 1107090.891829185 313684.4067230712, 1107094.314950206 313911.395317998, 1107085.283582305 313983.0361256102, 1107062.765951036 314187.8911158652, 1107035.738158161 314394.5023607242, 1107031.671250098 314431.3579138386, 1107032.046956111 314478.6676869373, 1107041.784513465 314509.3433137288, 1107076.177570995 314582.3895934157, 1107101.530990206 314633.521560658, 1107113.803514481 314668.3788057782, 1107117.202168535 314707.6708783678, 1107116.328156494 314767.89308901)"
21741.0,22969.0,1872.233,0.198,19486.19834511417,"LINESTRING (1100543.936824307 315279.2290962308, 1100578.7176465 315310.4654386358, 1100731.045452252 315322.1258314876, 1100857.665667327 315138.9018537146, 1101011.967947721 314991.0589778693, 1101153.962605109 314833.8610479787, 1101358.394760718 314723.7281958953, 1101480.969029762 314589.4902226132, 1101631.950336016 314399.7606680496, 1101680.618531082 314365.778070571, 1101711.300706042 314301.9682198871, 1101722.658838124 314244.3218713119, 1101740.877173572 314220.4617509097, 1101792.570872276 314185.8510111703, 1101781.529311049 314168.7839941275, 1101791.295234641 314159.1453413015, 1101784.881612619 314151.740912053, 1101782.938455741 314134.9977596914, 1101769.855504618 314128.4961053927, 1101763.544233496 314118.8339836033)"
15788.0,23062.0,5739.398,-0.238,60256.76889784615,"LINESTRING (1098811.673412345 313266.7349048369, 1098775.566057229 313304.6381270327, 1098665.444595249 313289.8428751816, 1098433.236158618 313257.8429491512, 1098231.464363217 313375.8744132865, 1098008.017758865 313486.8256493959, 1097690.343700571 313562.1267411497, 1097434.787683397 313692.963967148, 1096866.881030624 313629.7169042246, 1096718.121246116 313664.7453569041, 1096623.494885025 313604.3868325923, 1096485.3576153 313572.4624214911, 1096394.283104356 313561.2747356311, 1096338.2322366 313555.9533729606, 1096296.244416907 313540.5725358649, 1096273.495662023 313500.5835563192, 1096220.705631684 313480.0906302643, 1096183.20085057 313458.3935046116, 1096137.459861929 313429.0743137404, 1096077.617348532 313416.1423243231, 1096029.87129168 313407.6770860169, 1095980.221683501 313396.0578055727, 1095942.726549697 313376.3336966311, 1095941.211349483 313384.3108744867, 1095917.032274316 313412.9348149007, 1095889.734496493 313452.3201735876, 1095880.191068489 313482.6122166567, 1095718.121246116 313664.7453569041, 1095440.430246117 313748.9154887472, 1095231.728253926 313670.1767143009, 1095184.595701898 313648.5380110517, 1095089.107545119 313610.7732331986, 1095006.301625424 313582.2981181739, 1094969.239748918 313568.1504183226, 1094907.057365821 313547.4754670916, 1094861.998044372 313530.7691935108, 1094805.923882559 313500.3146190055, 1094718.121246116 313464.7453569041, 1094476.860014597 313535.2379263205, 1094438.244470037 313598.401568142, 1094409.596893062 313642.5909507343, 1094376.700117614 313699.2484957394, 1094268.689992616 313877.487544672, 1094117.301575364 314096.6462113763, 1094016.764684589 314178.1249273253, 1093981.104655265 314203.0195706511, 1093954.951543212 314225.7247914191, 1093942.391346202 314271.1697125868, 1093933.194630089 314309.548815819, 1093911.572635065 314309.6160886849)"
22035.0,25022.0,1546.116,0.004,23687.014094561266,"LINESTRING (1098981.014617496 316991.4358547534, 1098960.394563681 316961.6878962237, 1098960.277190023 316948.8002638791, 1098941.352147253 316927.9876018627, 1098910.948143922 316832.6121738037, 1098838.611552095 316933.9312800548, 1098719.860869501 317058.008810051, 1098584.653042627 317255.5442679516, 1098718.121246116 317464.7453569041, 1098918.121246116 317664.7453569041, 1099039.354441958 317812.5929601882, 1098997.06449128 317866.3513862442, 1099011.137553496 317881.4522909215, 1099011.730110206 317903.3946699035)"
18951.0,22514.0,635.544,0.009,6679.9825240405835,"LINESTRING (1108729.555679478 313501.4512209331, 1108760.961863922 313509.6316060319, 1108859.086205911 313531.5107640274, 1108921.028331132 313541.920158997, 1108953.925373199 313549.511997286, 1109000.890853142 313562.5313021395, 1109196.165012106 313620.5540790519, 1109232.048829386 313633.8190676263, 1109263.744793883 313644.0859273438, 1109299.020332166 313657.3480873679, 1109328.697471645 313624.4925792633)"
22303.0,22450.0,566.181,-0.004,23153.587831800764,"LINESTRING (1100457.385675702 313145.11077581, 1100718.121246116 313264.7453569041, 1100966.10132314 313258.8595708937, 1100974.582129113 313228.7726687347)"
