X,Y,geometry,ID,Elevation,Slope,Land_cover,Protected_area,Road_dist,River_flow
1102918.1212461155,309264.74535690405,POINT (1102918.121246116 309264.7453569041),27,1066,0.15999530255794525,1,False,1038.4123330155498,
1103318.1212461155,309264.74535690405,POINT (1103318.121246116 309264.7453569041),28,1065,0.2904101610183716,1,False,1153.3454546690002,
1103518.1212461155,309264.74535690405,POINT (1103518.121246116 309264.7453569041),29,1069,0.27024075388908386,3,False,1218.8091559501474,
1103718.1212461155,309264.74535690405,POINT (1103718.121246116 309264.7453569041),30,1069,0.34117835760116577,3,False,1311.787246259918,
1103918.1212461155,309264.74535690405,POINT (1103918.121246116 309264.7453569041),31,1068,0.19698040187358856,1,False,1426.9112797481303,
1104118.1212461155,309264.74535690405,POINT (1104118.121246116 309264.7453569041),32,1066,0.19756247103214264,1,False,1559.2837525911423,
1104318.1212461155,309264.74535690405,POINT (1104318.121246116 309264.7453569041),33,1062,0.1714342087507248,1,False,1704.8917390605723,
1104518.1212461155,309264.74535690405,POINT (1104518.121246116 309264.7453569041),34,1058,0.17072178423404694,1,False,1855.464463090833,
1104718.1212461155,309264.74535690405,POINT (1104718.121246116 309264.7453569041),35,1051,0.0995616540312767,1,False,1986.931498805715,
1117518.1212461155,309264.74535690405,POINT (1117518.121246116 309264.7453569041),36,1039,0.25779271125793457,1,False,550.9372089446186,
1117718.1212461155,309264.74535690405,POINT (1117718.121246116 309264.7453569041),37,1046,0.18097886443138123,1,False,352.39882781868045,
1117918.1212461155,309264.74535690405,POINT (1117918.121246116 309264.7453569041),38,1052,0.2758735716342926,1,False,157.6009501756688,
1096518.1212461155,309464.74535690405,POINT (1096518.121246116 309464.7453569041),39,956,0.23875315487384796,4,False,979.4282180983665,
1096718.1212461155,309464.74535690405,POINT (1096718.121246116 309464.7453569041),40,1100,0.10782676935195923,4,False,783.4827664596384,
1096918.1212461155,309464.74535690405,POINT (1096918.121246116 309464.7453569041),41,1100,0.08824636042118073,4,False,590.2633787311856,
1097118.1212461155,309464.74535690405,POINT (1097118.121246116 309464.7453569041),42,1102,0.1304716169834137,4,False,403.7034396720715,
1097318.1212461155,309464.74535690405,POINT (1097318.121246116 309464.7453569041),43,1106,0.16356991231441498,4,False,234.6526263090844,
1097518.1212461155,309464.74535690405,POINT (1097518.121246116 309464.7453569041),44,1085,0.1882348507642746,4,False,103.3966838756075,
1100318.1212461155,309464.74535690405,POINT (1100318.121246116 309464.7453569041),45,831,0.23554393649101257,4,False,406.9212002793893,
1100518.1212461155,309464.74535690405,POINT (1100518.121246116 309464.7453569041),46,911,0.43891432881355286,4,False,223.65399694300731,
1100718.1212461155,309464.74535690405,POINT (1100718.121246116 309464.7453569041),47,1097,0.3435421586036682,4,False,113.34182314039757,
1100918.1212461155,309464.74535690405,POINT (1100918.121246116 309464.7453569041),48,1101,0.09641802310943604,4,False,71.09264846548697,
1101118.1212461155,309464.74535690405,POINT (1101118.121246116 309464.7453569041),49,1101,0.08821558207273483,1,False,37.40805280102993,
1101318.1212461155,309464.74535690405,POINT (1101318.121246116 309464.7453569041),50,1098,0.24372583627700806,1,False,29.237107724233226,
1101518.1212461155,309464.74535690405,POINT (1101518.121246116 309464.7453569041),51,1095,0.3401283025741577,1,False,117.50469291777969,
1101718.1212461155,309464.74535690405,POINT (1101718.121246116 309464.7453569041),52,1093,0.21082663536071777,4,False,237.14001060516603,
1101918.1212461155,309464.74535690405,POINT (1101918.121246116 309464.7453569041),53,1088,0.23369722068309784,4,False,376.36757717012193,
1102118.1212461155,309464.74535690405,POINT (1102118.121246116 309464.7453569041),54,1083,0.15197443962097168,1,False,539.3054518253342,
1102318.1212461155,309464.74535690405,POINT (1102318.121246116 309464.7453569041),55,1077,0.10799050331115723,1,False,636.4459992359858,
1102518.1212461155,309464.74535690405,POINT (1102518.121246116 309464.7453569041),56,1072,0.18722541630268097,1,False,699.5184361751803,
1102718.1212461155,309464.74535690405,POINT (1102718.121246116 309464.7453569041),57,1068,0.23249147832393646,1,False,778.5521033706602,
1102918.1212461155,309464.74535690405,POINT (1102918.121246116 309464.7453569041),58,1069,0.13376763463020325,3,False,845.3783703753563,
1103118.1212461155,309464.74535690405,POINT (1103118.121246116 309464.7453569041),59,1071,0.15779809653759003,1,False,914.4578094786931,
1103318.1212461155,309464.74535690405,POINT (1103318.121246116 309464.7453569041),60,1073,0.2339976280927658,4,False,960.9919199051809,
1103518.1212461155,309464.74535690405,POINT (1103518.121246116 309464.7453569041),61,1076,0.29790329933166504,1,False,1038.6508031794485,
1103718.1212461155,309464.74535690405,POINT (1103718.121246116 309464.7453569041),62,1073,0.2543705701828003,1,False,1146.3356889531015,
