X,Y,ID,Population,Elevation,Weight,geometry,Land_cover,Cluster,MV_Power,Substation,Type
1101918.1212461155,308664.74535690405,0.0,,1080,6.002752673194768,POINT (1101918.121246116 308664.7453569041),,,,,Standard
1102118.1212461155,308664.74535690405,1.0,,1080,6.004591649505308,POINT (1102118.121246116 308664.7453569041),,,,,Standard
1101718.1212461155,308864.74535690405,2.0,,1081,4.707857191362329,POINT (1101718.121246116 308864.7453569041),,,,,Standard
1101918.1212461155,308864.74535690405,3.0,,1084,5.187928340461858,POINT (1101918.121246116 308864.7453569041),,,,,Standard
1102118.1212461155,308864.74535690405,4.0,,1083,5.770635634344332,POINT (1102118.121246116 308864.7453569041),,,,,Standard
1103718.1212461155,308864.74535690405,5.0,,1021,6.00396346275979,POINT (1103718.121246116 308864.7453569041),,,,,Standard
1103918.1212461155,308864.74535690405,6.0,,1062,6.003735925605744,POINT (1103918.121246116 308864.7453569041),,,,,Standard
1104118.1212461155,308864.74535690405,7.0,,1059,6.002898303454457,POINT (1104118.121246116 308864.7453569041),,,,,Standard
1104318.1212461155,308864.74535690405,8.0,,937,6.002460380388631,POINT (1104318.121246116 308864.7453569041),,,,,Standard
1101518.1212461155,309064.74535690405,9.0,,1084,3.383375725513752,POINT (1101518.121246116 309064.7453569041),,,,,Standard
1101718.1212461155,309064.74535690405,10.0,,1086,3.8152075022776497,POINT (1101718.121246116 309064.7453569041),,,,,Standard
1101918.1212461155,309064.74535690405,11.0,,1087,4.362961006237174,POINT (1101918.121246116 309064.7453569041),,,,,Standard
1102118.1212461155,309064.74535690405,12.0,,1083,5.010256401195115,POINT (1102118.121246116 309064.7453569041),,,,,Standard
1102318.1212461155,309064.74535690405,13.0,,1078,5.7092578143323625,POINT (1102318.121246116 309064.7453569041),,,,,Standard
1103518.1212461155,309064.74535690405,14.0,,1061,6.0068873701697125,POINT (1103518.121246116 309064.7453569041),,,,,Standard
1103718.1212461155,309064.74535690405,15.0,,1064,6.004357566530025,POINT (1103718.121246116 309064.7453569041),,,,,Standard
1103918.1212461155,309064.74535690405,16.0,,1066,6.002886830038582,POINT (1103918.121246116 309064.7453569041),,,,,Standard
1104118.1212461155,309064.74535690405,17.0,,1064,6.003684128616468,POINT (1104118.121246116 309064.7453569041),,,,,Standard
1104318.1212461155,309064.74535690405,18.0,,1050,6.002868092177813,POINT (1104318.121246116 309064.7453569041),,,,,Standard
1096718.1212461155,309264.74535690405,19.0,,925,4.821772504755813,POINT (1096718.121246116 309264.7453569041),,,,,Standard
1096918.1212461155,309264.74535690405,20.0,,686,3.821922550763973,POINT (1096918.121246116 309264.7453569041),,,,,Standard
1101518.1212461155,309264.74535690405,21.0,,1090,2.475009145013037,POINT (1101518.121246116 309264.7453569041),,,,,Standard
1101718.1212461155,309264.74535690405,22.0,,1090,2.967323703465544,POINT (1101718.121246116 309264.7453569041),,,,,Standard
1101918.1212461155,309264.74535690405,23.0,,1088,3.5959277702506123,POINT (1101918.121246116 309264.7453569041),,,,,Standard
1102118.1212461155,309264.74535690405,24.0,,1085,4.296580296766262,POINT (1102118.121246116 309264.7453569041),,,,,Standard
1102318.1212461155,309264.74535690405,25.0,,1080,5.081844943670946,POINT (1102318.121246116 309264.7453569041),,,,,Standard
1102518.1212461155,309264.74535690405,26.0,,1072,5.455332018450059,POINT (1102518.121246116 309264.7453569041),,,,,Standard
1102918.1212461155,309264.74535690405,27.0,,1066,6.002776354273967,POINT (1102918.121246116 309264.7453569041),,,,,Standard
1103318.1212461155,309264.74535690405,28.0,,1065,6.005045108523473,POINT (1103318.121246116 309264.7453569041),,,,,Standard
1103518.1212461155,309264.74535690405,29.0,,1069,6.004693897398951,POINT (1103518.121246116 309264.7453569041),,,,,Standard
1103718.1212461155,309264.74535690405,30.0,,1069,6.005929681787188,POINT (1103718.121246116 309264.7453569041),,,,,Standard
1103918.1212461155,309264.74535690405,31.0,,1068,6.003419242572742,POINT (1103918.121246116 309264.7453569041),,,,,Standard
1104118.1212461155,309264.74535690405,32.0,,1066,6.0034293636018425,POINT (1104118.121246116 309264.7453569041),,,,,Standard
1104318.1212461155,309264.74535690405,33.0,,1062,6.002975145447091,POINT (1104318.121246116 309264.7453569041),,,,,Standard
1104518.1212461155,309264.74535690405,34.0,,1058,6.002962763418107,POINT (1104518.121246116 309264.7453569041),,,,,Standard
1104718.1212461155,309264.74535690405,35.0,,1051,6.001726761132186,POINT (1104718.121246116 309264.7453569041),,,,,Standard
1117518.1212461155,309264.74535690405,36.0,,1039,3.759163244841403,POINT (1117518.121246116 309264.7453569041),,,,,Standard
