X,Y,ID,Elevation,Weight
1097518.1212461155,309664.74535690405,81,1106,2.4514998255161564
1099118.1212461155,309664.74535690405,82,1018,5.322017213848835
1099718.1212461155,309664.74535690405,83,1016,6.002739395701714
1099918.1212461155,309664.74535690405,84,1047,5.259689119346511
1100118.1212461155,309664.74535690405,85,1099,4.354480021129179
1100318.1212461155,309664.74535690405,86,1099,3.5205574399002897
1100518.1212461155,309664.74535690405,87,1098,2.86197694204896
1100718.1212461155,309664.74535690405,88,1105,2.5573117977000015
1100918.1212461155,309664.74535690405,89,1111,2.34534088518438
1101118.1212461155,309664.74535690405,90,1111,2.15684888723708
1101318.1212461155,309664.74535690405,91,1107,1.7688437334356397
1101518.1212461155,309664.74535690405,92,1100,1.5
1101718.1212461155,309664.74535690405,93,1095,1.5
1101918.1212461155,309664.74535690405,94,1088,2.3500310198006567
1102118.1212461155,309664.74535690405,95,1082,2.901919888975769
1102318.1212461155,309664.74535690405,96,1079,3.2552037710211565
1102518.1212461155,309664.74535690405,97,1075,3.565921959668229
1102718.1212461155,309664.74535690405,98,1072,3.9953892893011647
1102918.1212461155,309664.74535690405,99,1074,4.276990832400142
1103118.1212461155,309664.74535690405,100,1076,4.613982931362698
1103318.1212461155,309664.74535690405,101,1078,4.86821411769126
1103518.1212461155,309664.74535690405,102,1079,5.341437865123749
1103718.1212461155,309664.74535690405,103,1075,5.971364078958574
1103918.1212461155,309664.74535690405,104,1070,6.0024340116636505
1104118.1212461155,309664.74535690405,105,1064,6.00216578789423
1104318.1212461155,309664.74535690405,106,1058,6.002706057615697
1104518.1212461155,309664.74535690405,107,1053,6.0042665297168565
1104718.1212461155,309664.74535690405,108,1050,6.004413218854267
1104918.1212461155,309664.74535690405,109,1051,6.004183288352102
1105118.1212461155,309664.74535690405,110,1041,6.004433025107488
1107918.1212461155,309664.74535690405,111,950,6.00631718234111
1116518.1212461155,309664.74535690405,112,1021,5.899580717403753
1116718.1212461155,309664.74535690405,113,1025,6.006261703584475
1116918.1212461155,309664.74535690405,114,1031,6.004229400829571
1117118.1212461155,309664.74535690405,115,1040,6.0020955362373485
1117318.1212461155,309664.74535690405,116,1046,5.126923999873125
1117518.1212461155,309664.74535690405,117,1051,4.250224682492278
1117718.1212461155,309664.74535690405,118,1053,3.4648603715096558
1117918.1212461155,309664.74535690405,119,1054,2.8907384560148754
1118118.1212461155,309664.74535690405,120,1054,1.9681201946390936
1118318.1212461155,309664.74535690405,121,1051,1.5
1118518.1212461155,309664.74535690405,122,1052,2.252581877401072
1118718.1212461155,309664.74535690405,123,1053,1.5
1118918.1212461155,309664.74535690405,124,989,1.5305748703504647
1095918.1212461155,309864.74535690405,125,1101,4.123220740539848
1096118.1212461155,309864.74535690405,126,1102,4.562023300444853
1096318.1212461155,309864.74535690405,127,1099,4.983041011958981
1096518.1212461155,309864.74535690405,128,1093,5.586223487148758
1096718.1212461155,309864.74535690405,129,1087,5.779827744905181
1096918.1212461155,309864.74535690405,130,1087,4.998013666235967
1097118.1212461155,309864.74535690405,131,1090,4.317539149174486
1097318.1212461155,309864.74535690405,132,1095,3.755496129207918
1097518.1212461155,309864.74535690405,133,1099,3.4367286473018828
1097718.1212461155,309864.74535690405,134,1103,2.5220392754864016
1097918.1212461155,309864.74535690405,135,1105,1.5215731395062158
1098318.1212461155,309864.74535690405,136,1030,2.3996526430586593
1098518.1212461155,309864.74535690405,137,1110,3.1371495385953
1098718.1212461155,309864.74535690405,138,1108,3.6716893255698997
1098918.1212461155,309864.74535690405,139,1108,4.074315613507052
1099118.1212461155,309864.74535690405,140,1107,4.413875513458422
1099318.1212461155,309864.74535690405,141,1109,4.909133280165576
1099518.1212461155,309864.74535690405,142,1105,5.449917070961794
1099718.1212461155,309864.74535690405,143,1100,6.002779652844075
1099918.1212461155,309864.74535690405,144,1100,5.7269764089474675
1100118.1212461155,309864.74535690405,145,1105,4.929658529186246
1100318.1212461155,309864.74535690405,146,1105,4.2488385340737835
1100518.1212461155,309864.74535690405,147,1105,3.7711081710176058
1100718.1212461155,309864.74535690405,148,1112,3.540759746764177
1100918.1212461155,309864.74535690405,149,1118,3.3277407353590434
1101118.1212461155,309864.74535690405,150,1116,3.0938222092271737
1101318.1212461155,309864.74535690405,151,1114,2.646204193273436
1101518.1212461155,309864.74535690405,152,1106,1.8857939182583492
1101718.1212461155,309864.74535690405,153,1098,1.5
1101918.1212461155,309864.74535690405,154,1089,1.655004696401042
1102118.1212461155,309864.74535690405,155,1086,1.9522813616047563
1102318.1212461155,309864.74535690405,156,1086,2.296564113483061
1102518.1212461155,309864.74535690405,157,1082,2.6596174328220856
1102718.1212461155,309864.74535690405,158,1077,3.037104400347988
1102918.1212461155,309864.74535690405,159,1077,3.347836892391812
1103118.1212461155,309864.74535690405,160,1079,3.6250201022695334
1103318.1212461155,309864.74535690405,161,1079,3.962603057005589
1103518.1212461155,309864.74535690405,162,1078,4.559872374813797
1103718.1212461155,309864.74535690405,163,1074,5.296275999735846
1103918.1212461155,309864.74535690405,164,1068,6.001221792952677
1104118.1212461155,309864.74535690405,165,1062,6.002452603705333
1104318.1212461155,309864.74535690405,166,1058,6.0042926554226606
1104518.1212461155,309864.74535690405,167,1055,6.003500248386261
1104718.1212461155,309864.74535690405,168,1053,6.003128819898029
1104918.1212461155,309864.74535690405,169,1053,6.00434779454665
1105118.1212461155,309864.74535690405,170,1050,6.005049371411017
1107718.1212461155,309864.74535690405,171,1034,6.001924917354134
1107918.1212461155,309864.74535690405,172,1032,6.0022342465006
1116518.1212461155,309864.74535690405,173,1026,4.944152307242823
1116718.1212461155,309864.74535690405,174,1030,5.378304187697535
1116918.1212461155,309864.74535690405,175,1033,5.981845660432324
1117118.1212461155,309864.74535690405,176,1040,6.002666801251321
1117318.1212461155,309864.74535690405,177,1048,5.639903864813816
1117518.1212461155,309864.74535690405,178,1053,4.879929586892034
1117718.1212461155,309864.74535690405,179,1055,4.2033331416955955
1117918.1212461155,309864.74535690405,180,1053,3.360027006512659
1118118.1212461155,309864.74535690405,181,1050,2.6975250776928354
1118318.1212461155,309864.74535690405,182,1045,2.4780249288521228
1118518.1212461155,309864.74535690405,183,1047,2.7835326096950808
1118718.1212461155,309864.74535690405,184,1050,2.1118325743286563
1118918.1212461155,309864.74535690405,185,1048,2.1375757737081376
1119118.1212461155,309864.74535690405,186,1044,2.8334302153864526
1119318.1212461155,309864.74535690405,187,1045,3.724621566466401
1120118.1212461155,309864.74535690405,188,1054,3.898014057211407
1120318.1212461155,309864.74535690405,189,1052,4.088069826004634
1120518.1212461155,309864.74535690405,190,1049,4.559566968735714
1120718.1212461155,309864.74535690405,191,1045,5.219939476509145
1095118.1212461155,310064.74535690405,192,940,1.5
1095318.1212461155,310064.74535690405,193,964,1.5
1095518.1212461155,310064.74535690405,194,1110,2.03471186494958
1095718.1212461155,310064.74535690405,195,1103,3.0328422005742635
1095918.1212461155,310064.74535690405,196,1096,3.3483341596169467
1096118.1212461155,310064.74535690405,197,1096,3.6276835812135295
1096318.1212461155,310064.74535690405,198,1094,4.1752024847079925
1096518.1212461155,310064.74535690405,199,1087,4.905463553889247
1096718.1212461155,310064.74535690405,200,1084,5.734260631514903
1096918.1212461155,310064.74535690405,201,1086,5.72439827695799
1097118.1212461155,310064.74535690405,202,1088,5.124172620052635
1097318.1212461155,310064.74535690405,203,1092,4.663608781902235
1097518.1212461155,310064.74535690405,204,1095,3.7214167714847024
1097718.1212461155,310064.74535690405,205,1098,2.7752834150890155
1097918.1212461155,310064.74535690405,206,1104,1.8406189800285824
1098118.1212461155,310064.74535690405,207,1112,1.5
1098318.1212461155,310064.74535690405,208,1116,1.7290314596987113
1098518.1212461155,310064.74535690405,209,1116,2.2915454536758313
1098718.1212461155,310064.74535690405,210,1115,2.9506781402199893
1098918.1212461155,310064.74535690405,211,1113,3.101735209908486
1099118.1212461155,310064.74535690405,212,1111,3.5757936038975187
1099318.1212461155,310064.74535690405,213,1109,4.050309754901172
1099518.1212461155,310064.74535690405,214,1105,4.714138487775735
1099718.1212461155,310064.74535690405,215,1102,5.50397175395828
1099918.1212461155,310064.74535690405,216,1104,6.003739663537351
1100118.1212461155,310064.74535690405,217,1109,5.65106833435588
1100318.1212461155,310064.74535690405,218,1110,5.093051712899495
1100518.1212461155,310064.74535690405,219,1110,4.7205064473356675
1100718.1212461155,310064.74535690405,220,1118,4.501911922885614
1100918.1212461155,310064.74535690405,221,1121,4.310499687967598
1101118.1212461155,310064.74535690405,222,1119,3.999127461882505
1101318.1212461155,310064.74535690405,223,1116,3.222601964181087
1101518.1212461155,310064.74535690405,224,1108,2.4072580953508247
1101718.1212461155,310064.74535690405,225,1100,1.7482891413382564
1101918.1212461155,310064.74535690405,226,1093,1.5
1102118.1212461155,310064.74535690405,227,1092,1.5
1102318.1212461155,310064.74535690405,228,1091,1.5
1102518.1212461155,310064.74535690405,229,1087,1.7730689320095037
1102718.1212461155,310064.74535690405,230,1082,2.080045953722869
1102918.1212461155,310064.74535690405,231,1080,2.429912522520822
