Unnamed: 0,X,Y,ID,Weight,Cluster,MV_Power,Population,Substation,geometry
15871.0,1101104.9362201132,309425.2355168243,15876.0,1.0,1.0,0.0,0.0,1.0,POINT (1101104.936220113 309425.2355168243)
15879.0,1101418.0653134715,309543.5628180212,15884.0,1.0,1.0,0.0,0.0,1.0,POINT (1101418.065313471 309543.5628180212)
15899.0,1102095.7623216305,310062.9932714268,15904.0,1.0,1.0,0.0,0.0,1.0,POINT (1102095.76232163 310062.9932714268)
15903.0,1102283.6406490605,310123.79383171716,15908.0,1.0,1.0,0.0,0.0,1.0,POINT (1102283.64064906 310123.7938317172)
15917.0,1102920.8629259816,310372.1411197593,15923.0,1.0,1.0,0.0,0.0,1.0,POINT (1102920.862925982 310372.1411197593)
16564.0,1103745.034369813,311156.8758780871,16579.0,1.0,1.0,0.0,0.0,1.0,POINT (1103745.034369813 311156.8758780871)
16664.0,1100983.5196258486,312118.85622394626,16680.0,1.0,1.0,0.0,0.0,1.0,POINT (1100983.519625849 312118.8562239463)
16728.0,1101729.8738858206,311465.20641984,16746.0,1.0,1.0,0.0,0.0,1.0,POINT (1101729.873885821 311465.20641984)
16739.0,1102062.8945434494,311318.4055896933,16757.0,1.0,1.0,0.0,0.0,1.0,POINT (1102062.894543449 311318.4055896933)
16757.0,1102888.4823246596,310978.9437750315,16775.0,1.0,1.0,0.0,0.0,1.0,POINT (1102888.48232466 310978.9437750315)
16808.0,1102796.762374973,312025.9659884597,16828.0,1.0,1.0,0.0,0.0,1.0,POINT (1102796.762374973 312025.9659884597)
16817.0,1102984.777422124,312320.19151176396,16837.0,1.0,1.0,0.0,0.0,1.0,POINT (1102984.777422124 312320.191511764)
18988.0,1103495.9051304809,312849.84694193077,19022.0,1.0,1.0,0.0,0.0,1.0,POINT (1103495.905130481 312849.8469419308)
18998.0,1102220.354216944,312767.671287221,19032.0,1.0,1.0,0.0,0.0,1.0,POINT (1102220.354216944 312767.671287221)
19000.0,1101893.477956787,312609.47681457404,19034.0,1.0,1.0,0.0,0.0,1.0,POINT (1101893.477956787 312609.476814574)
19003.0,1101541.4843129232,312445.65865309373,19037.0,1.0,1.0,0.0,0.0,1.0,POINT (1101541.484312923 312445.6586530937)
19061.0,1103454.369946495,312523.8848862525,15577.0,3.0,1.0,0.7034457168922768,558.0,1.0,POINT (1103454.369946495 312523.8848862525)
19062.0,1102707.52965434,310285.11598786764,15918.0,3.0,1.0,0.0,0.0,1.0,POINT (1102707.52965434 310285.1159878676)
19063.0,1102989.160106703,310381.67051860515,15925.0,3.0,1.0,0.0,0.0,1.0,POINT (1102989.160106703 310381.6705186052)
19064.0,1104040.0879322023,311452.03955546784,16571.0,3.0,1.0,1.6409742255683415,1302.0,1.0,POINT (1104040.087932202 311452.0395554678)
19065.0,1103233.4108523065,312387.5188838473,16645.0,3.0,1.0,0.7706771622047768,612.0,1.0,POINT (1103233.410852307 312387.5188838473)
19066.0,1102437.35643436,311245.7452685285,16702.0,3.0,1.0,0.21462243105914144,171.0,1.0,POINT (1102437.35643436 311245.7452685285)
19067.0,1102649.699380048,310778.32496473164,16714.0,3.0,1.0,0.4134872816274832,328.0,1.0,POINT (1102649.699380048 310778.3249647316)
19068.0,1102860.9724364409,311000.64006079,16776.0,3.0,1.0,0.2728751601829185,217.0,1.0,POINT (1102860.972436441 311000.64006079)
19069.0,1101773.537862427,311547.8258736281,16824.0,3.0,1.0,1.030264069153382,817.0,1.0,POINT (1101773.537862427 311547.8258736281)
19070.0,1103184.7965058251,312961.64693195873,18085.0,3.0,1.0,0.0,0.0,1.0,POINT (1103184.796505825 312961.6469319587)
19071.0,1101499.458385169,312421.66712852736,19038.0,3.0,1.0,1.445751231769184,1147.0,1.0,POINT (1101499.458385169 312421.6671285274)
19072.0,1100850.6658699145,312033.0044459336,19048.0,3.0,1.0,0.0,0.0,1.0,POINT (1100850.665869914 312033.0044459336)
19073.0,1101708.1825243342,308957.4292551312,19117.0,3.0,1.0,0.8861205193803117,703.0,1.0,POINT (1101708.182524334 308957.4292551312)
19074.0,1102060.4407914141,308976.2630433041,19118.0,3.0,1.0,0.4730387113760183,376.0,1.0,POINT (1102060.440791414 308976.2630433041)
19075.0,1102258.8093020443,309138.42459978897,19149.0,3.0,1.0,0.3741432906485893,297.0,1.0,POINT (1102258.809302044 309138.424599789)
19076.0,1101919.0095312498,309311.73611243896,19168.0,3.0,1.0,0.1352177076941138,108.0,1.0,POINT (1101919.00953125 309311.736112439)
19077.0,1102041.064440308,309400.0690958314,19198.0,3.0,1.0,0.28326299461158544,225.0,1.0,POINT (1102041.064440308 309400.0690958314)
19078.0,1101128.4296027226,309407.6618812373,19202.0,3.0,1.0,0.538275637927356,427.0,1.0,POINT (1101128.429602723 309407.6618812373)
19079.0,1103057.8588355712,309441.89376942714,19214.0,3.0,1.0,0.11570338068781673,92.0,1.0,POINT (1103057.858835571 309441.8937694271)
19080.0,1101521.836107725,309451.4240720702,19224.0,3.0,1.0,0.6452088326806421,512.0,1.0,POINT (1101521.836107725 309451.4240720702)
19081.0,1100725.5098971492,309450.2363326825,19228.0,3.0,1.0,0.3880489253138637,308.0,1.0,POINT (1100725.509897149 309450.2363326825)
19082.0,1101739.6639964257,309531.33320200216,19258.0,3.0,1.0,0.7386072909724605,586.0,1.0,POINT (1101739.663996426 309531.3332020022)
19083.0,1102758.52948503,309590.9710906286,19291.0,3.0,1.0,0.1058047731073053,84.0,1.0,POINT (1102758.52948503 309590.9710906286)
