Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
56.0,0.0,1107,1.3954704961690816,1.0577075884197726,10577.075884197728,0.5444014656335837,50,1500
56.0,1.0,297,0.3733345626281188,0.46763963531160946,4676.396353116095,0.21640791852279437,50,1500
56.0,2.0,197,0.24844259674484662,0.8078171642643286,8078.171642643285,0.42629917975662035,50,1500
56.0,3.0,262,0.3299593784572842,0.32369579350874333,3236.9579350874337,0.15637583986253795,50,1500
