Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
29.0,0.0,611,0.7697979722581467,1.97396235521474,19739.6235521474,0.4969545338005709,50,1500
29.0,1.0,645,0.8126853080268378,1.5011746223377613,15011.746223377613,0.5071642898999675,50,1500
29.0,2.0,212,0.2668817009796967,0.6052736550975397,6052.736550975397,0.37886117781301165,50,1500
29.0,3.0,287,0.3611991701899348,0.5494512833343973,5494.512833343973,0.27370706855486665,50,1500
29.0,4.0,169,0.21217112343590538,0.21513919644678767,2151.3919644678767,0.07889208855594962,50,1500
