Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
20.0,0.0,879,1.107557256200292,1.4582709090514483,14582.709090514483,0.48844328871110965,50,1500
20.0,1.0,417,0.5250218662914928,1.2040494339969134,12040.494339969135,0.6055886876650141,50,1500
20.0,2.0,1147,1.4462308479858947,1.8433092554279684,18433.092554279683,0.5506246505997081,50,1500
20.0,3.0,787,0.9925050842010222,1.6489810237929858,16489.810237929858,0.5471163757663087,50,1500
20.0,4.0,370,0.4657450371819573,0.8934508518923444,8934.508518923445,0.38851038614615946,50,1500
20.0,5.0,565,0.7122745481267705,1.408793456990521,14087.93456990521,0.41686369367551873,50,1500
20.0,6.0,1326,1.6713736150930594,1.1402354222384643,11402.354222384643,0.3895408191888962,50,1500
20.0,7.0,402,0.5058342526410077,1.0465298555799636,10465.298555799636,0.4528526421010788,50,1500
20.0,8.0,411,0.5172014765696483,1.0878984541072625,10878.984541072625,0.7202645561420203,50,1500
20.0,9.0,413,0.519885278478399,1.0227095784324898,10227.095784324898,0.3973525030194238,50,1500
20.0,10.0,434,0.5471055360742517,0.6946760180679528,6946.760180679528,0.3580315558157226,50,1500
20.0,11.0,440,0.5538732645533107,0.8689096509585378,8689.096509585379,0.4078673893615926,50,1500
20.0,12.0,505,0.63572739025494,0.9300033094094579,9300.033094094579,0.3278932297654603,50,1500
20.0,13.0,218,0.2737856875239192,0.6164873431525922,6164.873431525922,0.2656701971513818,50,1500
20.0,14.0,244,0.3070190622140695,0.38221701346078096,3822.17013460781,0.1928218249018302,50,1500
20.0,15.0,388,0.4884791013356801,0.8570091156401917,8570.091156401917,0.4209069310842851,50,1500
