Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
23.0,0.0,395,0.4980931921262999,1.1262922481605193,11262.922481605194,0.5340055857974553,50,1500
23.0,1.0,323,0.40644485748565945,0.8019128090554279,8019.128090554279,0.4044003432332054,50,1500
23.0,2.0,362,0.45639043945449964,0.9341300858623999,9341.300858623998,0.6316573693102234,50,1500
23.0,3.0,743,0.9368679912670239,1.2912290796366106,12912.290796366105,0.4046645484909276,50,1500
23.0,4.0,93,0.11631434741320909,0.10231232727624956,1023.1232727624955,0.0594850297250333,50,1500
23.0,5.0,1033,1.302767622664168,1.1573667990509753,11573.667990509752,0.3450476154903157,50,1500
23.0,6.0,539,0.6793516040492702,1.1042029327664369,11042.029327664368,0.28498744780519447,50,1500
