Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
1.0,0.0,509,0.640736945727924,0.9799628043135576,9799.628043135575,0.31976171376507706,50,1500
1.0,1.0,171,0.21462243105914142,0.5270943682301941,5270.9436823019405,0.2510770584872222,50,1500
1.0,2.0,328,0.4134872816274832,0.9631295010586677,9631.295010586677,0.4361849474258571,50,1500
1.0,3.0,430,0.5421733239319947,1.326885108243675,13268.85108243675,0.38641321190795236,50,1500
1.0,4.0,691,0.8712336777351997,1.645272378341298,16452.72378341298,0.4969790688751074,50,1500
1.0,5.0,222,0.27991447740846925,1.2084253166383412,12084.253166383412,0.6298168345755201,50,1500
1.0,6.0,217,0.27287516018291846,0.8853109615656432,8853.109615656433,0.3515757838134795,50,1500
1.0,7.0,464,0.5849278465477196,0.9753041221520884,9753.041221520883,0.39763305119239795,50,1500
1.0,8.0,817,1.030264069153382,0.8080969455294117,8080.969455294116,0.28128953174029375,50,1500
1.0,9.0,451,0.5676230963285979,0.9438901119325113,9438.901119325112,0.3343286605499779,50,1500
1.0,10.0,558,0.7034457168922768,1.317312093160831,13173.120931608311,0.4327694022884999,50,1500
1.0,11.0,187,0.2346996054778228,0.5172801856216922,5172.801856216923,0.24761473036951676,50,1500
1.0,12.0,612,0.7706771622047768,1.3158773463856646,13158.773463856647,0.5264726009765474,50,1500
1.0,13.0,1302,1.6409742255683415,2.2481104878077396,22481.104878077396,0.5334683586628982,50,1500
1.0,14.0,1064,1.341852202372508,1.655400937264396,16554.00937264396,0.47584279332151885,50,1500
1.0,15.0,1119,1.4107488898543625,1.9822166581988625,19822.166581988626,0.5113490295041886,50,1500
1.0,16.0,757,0.9538096424480815,1.549989505040388,15499.89505040388,0.4211569019626903,50,1500
1.0,17.0,696,0.8770748487249151,1.660487384360154,16604.87384360154,0.48254001138665403,50,1500
1.0,18.0,1147,1.4457512317691839,0.8993939350913915,8993.939350913915,0.2828454977169552,50,1500
1.0,19.0,376,0.47385851628071546,0.6010726331150447,6010.726331150447,0.3428413410418391,50,1500
1.0,20.0,665,0.8385680243346068,0.6555412413097791,6555.412413097792,0.3409954698470299,50,1500
1.0,21.0,308,0.38804892531386365,0.7237228962786848,7237.228962786849,0.2973346308360398,50,1500
1.0,22.0,427,0.538275637927356,1.0540347456128978,10540.347456128977,0.3657114240476533,50,1500
1.0,23.0,551,0.6944808392911344,1.6641567217022681,16641.567217022683,0.4230459233251679,50,1500
1.0,24.0,815,1.0266972775502248,1.9089770250414708,19089.770250414706,0.47362098608033804,50,1500
1.0,25.0,270,0.3392793718973795,0.9138927321588278,9138.927321588279,0.32949247018665756,50,1500
1.0,26.0,772,0.9734349223300144,1.052691168378793,10526.91168378793,0.38132994525727476,50,1500
1.0,27.0,297,0.37414329064858926,0.7222212703881383,7222.212703881384,0.35434514392740063,50,1500
