Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
5.0,0.0,602,0.7587319989247365,1.482140750781035,14821.40750781035,0.5372136732937696,50,1500
5.0,1.0,195,0.24502398568230707,0.5976890278844949,5976.890278844949,0.3508146164610714,50,1500
5.0,2.0,376,0.473059775378253,1.0912185084648685,10912.185084648683,0.38305199117847344,50,1500
5.0,3.0,156,0.19656394511729747,0.4593206195364743,4593.206195364743,0.2857574554059465,50,1500
5.0,4.0,133,0.16733796678147872,0.2133417212195325,2133.4172121953247,0.18984154684981072,50,1500
