,Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
0,1.0,0.0,509,0.640736945727924,0.9799628043135576,9799.628043135575,0.31976171376507706,50,1500
0,1.0,1.0,171,0.21462243105914142,0.5270943682301941,5270.9436823019405,0.2510770584872222,50,1500
0,1.0,2.0,328,0.4134872816274832,0.9631295010586677,9631.295010586677,0.4361849474258571,50,1500
0,1.0,3.0,430,0.5421733239319947,1.326885108243675,13268.85108243675,0.38641321190795236,50,1500
0,1.0,4.0,691,0.8712336777351997,1.645272378341298,16452.72378341298,0.4969790688751074,50,1500
0,1.0,5.0,222,0.27991447740846925,1.2084253166383412,12084.253166383412,0.6298168345755201,50,1500
0,1.0,6.0,217,0.27287516018291846,0.8853109615656432,8853.109615656433,0.3515757838134795,50,1500
0,1.0,7.0,464,0.5849278465477196,0.9753041221520884,9753.041221520883,0.39763305119239795,50,1500
0,1.0,8.0,817,1.030264069153382,0.8080969455294117,8080.969455294116,0.28128953174029375,50,1500
0,1.0,9.0,451,0.5676230963285979,0.9438901119325113,9438.901119325112,0.3343286605499779,50,1500
0,1.0,10.0,558,0.7034457168922768,1.317312093160831,13173.120931608311,0.4327694022884999,50,1500
0,1.0,11.0,187,0.2346996054778228,0.5172801856216922,5172.801856216923,0.24761473036951676,50,1500
0,1.0,12.0,612,0.7706771622047768,1.3158773463856646,13158.773463856647,0.5264726009765474,50,1500
0,1.0,13.0,1302,1.6409742255683415,2.2481104878077396,22481.104878077396,0.5334683586628982,50,1500
0,1.0,14.0,1064,1.341852202372508,1.655400937264396,16554.00937264396,0.47584279332151885,50,1500
0,1.0,15.0,1119,1.4107488898543625,1.9822166581988625,19822.166581988626,0.5113490295041886,50,1500
0,1.0,16.0,757,0.9538096424480815,1.549989505040388,15499.89505040388,0.4211569019626903,50,1500
0,1.0,17.0,696,0.8770748487249151,1.660487384360154,16604.87384360154,0.48254001138665403,50,1500
0,1.0,18.0,1147,1.4457512317691839,0.8993939350913915,8993.939350913915,0.2828454977169552,50,1500
0,1.0,19.0,376,0.47385851628071546,0.6010726331150447,6010.726331150447,0.3428413410418391,50,1500
0,1.0,20.0,665,0.8385680243346068,0.6555412413097791,6555.412413097792,0.3409954698470299,50,1500
0,1.0,21.0,308,0.38804892531386365,0.7237228962786848,7237.228962786849,0.2973346308360398,50,1500
0,1.0,22.0,427,0.538275637927356,1.0540347456128978,10540.347456128977,0.3657114240476533,50,1500
0,1.0,23.0,551,0.6944808392911344,1.6641567217022681,16641.567217022683,0.4230459233251679,50,1500
0,1.0,24.0,815,1.0266972775502248,1.9089770250414708,19089.770250414706,0.47362098608033804,50,1500
0,1.0,25.0,270,0.3392793718973795,0.9138927321588278,9138.927321588279,0.32949247018665756,50,1500
0,1.0,26.0,772,0.9734349223300144,1.052691168378793,10526.91168378793,0.38132994525727476,50,1500
0,1.0,27.0,297,0.37414329064858926,0.7222212703881383,7222.212703881384,0.35434514392740063,50,1500
0,1.0,28.0,441,0.5561287799182238,0.7381268553709155,7381.268553709155,0.39162793442759003,50,1500
0,1.0,29.0,573,0.7214641954232981,0.7520784626470228,7520.7846264702275,0.3546736261981291,50,1500
0,1.0,30.0,1058,1.3335147522591255,1.5926988301424598,15926.988301424599,0.4562239513629716,50,1500
0,1.0,31.0,393,0.49534955291060706,0.8464109015428378,8464.109015428377,0.4422676236525936,50,1500
0,1.0,32.0,688,0.8667434018796627,1.1623108019461723,11623.10801946172,0.5461439106071277,50,1500
0,1.0,33.0,586,0.7386072909724605,0.9467489391730992,9467.489391730993,0.4260179070248723,50,1500
0,1.0,34.0,446,0.5612661567894187,0.7385616372659459,7385.61637265946,0.23017320532859117,50,1500
0,1.0,35.0,512,0.645208832680642,0.850918033802733,8509.18033802733,0.281865273233503,50,1500
0,1.0,36.0,391,0.49275720836879966,0.7371575137306017,7371.575137306016,0.2670714017130619,50,1500
0,1.0,37.0,235,0.2957733700726483,0.7044099185404374,7044.099185404374,0.38322161962993484,50,1500
0,1.0,38.0,703,0.8861205193803117,0.9326234004316355,9326.234004316355,0.3098416498552304,50,1500
0,1.0,39.0,203,0.25538826985402147,0.6933557256586901,6933.557256586901,0.34196191765478007,50,1500
0,1.0,40.0,719,0.9064061446662421,1.648246654265482,16482.46654265482,0.5086026267399688,50,1500
0,1.0,41.0,108,0.1352177076941138,0.17126592282375766,1712.6592282375766,0.09668546395034201,50,1500
0,1.0,42.0,376,0.47303871137601833,0.4796814119769225,4796.814119769225,0.3635690819722086,50,1500
0,1.0,43.0,365,0.46036010054854654,1.2756637694838873,12756.637694838873,0.600637776056133,50,1500
0,1.0,44.0,136,0.17113871290877058,0.7695137398966717,7695.137398966717,0.31789342684599775,50,1500
0,1.0,45.0,1041,1.3129286473935788,1.549973518455677,15499.735184556772,0.5511992697549712,50,1500
0,1.0,46.0,259,0.3256274374540861,0.4948192644146211,4948.192644146211,0.22352748099228645,50,1500
0,1.0,47.0,810,1.0207222625801156,1.309834621140009,13098.34621140009,0.42490703869130414,50,1500
0,1.0,48.0,223,0.28113641927908134,1.2635037137383913,12635.037137383913,0.46791862707445425,50,1500
0,1.0,49.0,92,0.11570338068781671,0.2713184678824211,2713.184678824211,0.2245302453356818,50,1500
0,1.0,50.0,132,0.16594331260200018,0.6384412703761866,6384.412703761866,0.35145626867152074,50,1500
0,1.0,51.0,225,0.28326299461158544,0.45649647804587584,4564.9647804587585,0.2308054382666586,50,1500
0,1.0,52.0,555,0.6998021352613294,0.6137093184945438,6137.093184945438,0.3375328936150632,50,1500
0,1.0,53.0,679,0.8553284255019179,0.8993953381731035,8993.953381731035,0.39198129050998204,50,1500
0,1.0,54.0,279,0.35165144928940784,0.4333627490662742,4333.627490662742,0.24550683818295174,50,1500
0,1.0,55.0,85,0.10644247759569873,0.2793103278429511,2793.103278429511,0.23565782786421063,50,1500
0,1.0,56.0,260,0.3270331661121265,0.2938112840508368,2938.1128405083678,0.1311010386147703,50,1500
0,1.0,57.0,84,0.1058047731073053,0.2908091548634256,2908.091548634256,0.17545561748752472,50,1500
0,2.0,0.0,939,1.1832237458443855,1.278187819894279,12781.87819894279,0.6481378581408676,50,1500
0,2.0,1.0,1611,2.0314533860833794,1.5435332109660094,15435.332109660094,0.6217956313190418,50,1500
0,2.0,2.0,825,1.0402016136238166,0.9290227649790733,9290.227649790733,0.47088763429730857,50,1500
0,2.0,3.0,991,1.2498746741355,0.9973044523208114,9973.044523208115,0.4301511637951571,50,1500
0,2.0,4.0,508,0.6395893449181909,0.5430493194039077,5430.493194039076,0.38791107289891474,50,1500
0,2.0,5.0,338,0.42559791255641627,0.44208519133579266,4420.851913357927,0.3364737298714582,50,1500
0,3.0,0.0,1194,1.5056246441334216,1.4162553026986087,14162.553026986086,0.46755168213288345,50,1500
0,3.0,1.0,256,0.3228594938054815,0.3045831332848719,3045.831332848719,0.20119964696735082,50,1500
0,4.0,0.0,582,0.7335263064960101,1.5012332473791414,15012.332473791415,0.4878451990024739,50,1500
0,4.0,1.0,242,0.3046900970871384,0.7326765615965436,7326.765615965436,0.33592384454612195,50,1500
0,4.0,2.0,1402,1.7673463886707752,2.0662000403799974,20662.000403799975,0.5399615408195376,50,1500
0,4.0,3.0,237,0.2986420725916957,0.6551282269844305,6551.282269844305,0.33978334574952157,50,1500
0,4.0,4.0,297,0.373970921146977,0.7847771991613204,7847.771991613204,0.31075311640085373,50,1500
0,4.0,5.0,137,0.17189422280938774,0.31998649829688736,3199.864982968874,0.23467835604128207,50,1500
0,5.0,0.0,602,0.7587319989247365,1.482140750781035,14821.40750781035,0.5372136732937696,50,1500
0,5.0,1.0,195,0.24502398568230707,0.5976890278844949,5976.890278844949,0.3508146164610714,50,1500
0,5.0,2.0,376,0.473059775378253,1.0912185084648685,10912.185084648683,0.38305199117847344,50,1500
0,5.0,3.0,156,0.19656394511729747,0.4593206195364743,4593.206195364743,0.2857574554059465,50,1500
0,5.0,4.0,133,0.16733796678147872,0.2133417212195325,2133.4172121953247,0.18984154684981072,50,1500
0,6.0,0.0,1099,1.3851544708389418,1.4161832834496202,14161.832834496203,0.4252997880939368,50,1500
0,6.0,1.0,386,0.4863107877164274,0.4619179308670486,4619.1793086704865,0.26849988859652835,50,1500
0,7.0,0.0,1523,1.9198878886248614,1.3730109685260525,13730.109685260524,0.4687341921591008,50,1500
0,7.0,1.0,489,0.6164605989542093,0.6154314920564676,6154.314920564677,0.2836850030893778,50,1500
0,7.0,2.0,259,0.32659076914057,0.2765238167543515,2765.238167543515,0.20493528961726026,50,1500
0,8.0,0.0,964,1.2152632094718314,0.9227503483850252,9227.503483850252,0.3694844634405758,50,1500
0,8.0,1.0,297,0.37446084082663594,0.3027669904336809,3027.669904336809,0.14189415419270474,50,1500
0,9.0,0.0,841,1.0595854958542832,0.7638676959393002,7638.676959393001,0.4745837219569312,50,1500
0,9.0,1.0,325,0.4092054963326669,0.7896709385656482,7896.709385656482,0.3412119591847276,50,1500
0,10.0,0.0,817,1.0299553116806992,1.3171716215991973,13171.716215991974,0.4568835699771083,50,1500
0,11.0,0.0,3064,3.8639895454612936,3.576194926855377,35761.94926855377,0.504969822848819,50,1500
