Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
30.0,0.0,1098,1.3840059522680335,1.3958813425913488,13958.813425913488,0.5167064326020202,50,1500
30.0,1.0,959,1.2095037312550587,0.9623986731969213,9623.986731969213,0.44404218364149467,50,1500
30.0,2.0,475,0.5984028816223144,0.28731681866529096,2873.1681866529093,0.17153237166262036,50,1500
30.0,3.0,802,1.0115114346066036,1.2430568777464017,12430.56877746402,0.41527620547143035,50,1500
30.0,4.0,509,0.6410801378885904,0.720780223445177,7207.80223445177,0.34021381190414096,50,1500
