,Cost,ID1,ID2,Length,geometry,Type,C1,C2
0,40475.707161068225,19365,20347,899.202682848859,"LINESTRING (1100019.286874324 309755.0960916761, 1100006.999491262 309723.1853318226, 1099718.121246116 309664.7453569041, 1099518.121246116 309864.7453569041, 1099245.56408601 309773.4680717562)",C-C,1.0,2.0
0,16982.379583703314,19874,20503,1444.4345574048727,"LINESTRING (1104430.119647918 311800.7322670922, 1104420.052795279 311788.7528894446, 1104401.10201889 311798.185932652, 1104383.712934066 311792.6242075543, 1104381.456846743 311758.3714718033, 1104394.622542359 311728.1689347617, 1104363.718157255 311693.2828185196, 1104552.575831638 311507.9375994949, 1104830.24862043 311510.3286781513, 1105285.923696468 311406.5582877998, 1105388.163728919 311186.1202363998, 1105369.653320279 311199.5169620451)",C-C,1.0,3.0
0,34271.41538808295,19874,20581,3190.7913333180554,"LINESTRING (1104430.119647918 311800.7322670922, 1104420.052795279 311788.7528894446, 1104401.10201889 311798.185932652, 1104383.712934066 311792.6242075543, 1104381.456846743 311758.3714718033, 1104394.622542359 311728.1689347617, 1104363.718157255 311693.2828185196, 1104552.575831638 311507.9375994949, 1104830.24862043 311510.3286781513, 1105285.923696468 311406.5582877998, 1105656.526371226 311304.7648167376, 1105965.268724483 311370.4592238523, 1106167.476298045 311420.1802937055, 1106578.749208614 311562.3848892183, 1106779.827589013 311627.7012993547, 1106979.342649909 311568.590503226, 1106991.710740673 311545.6458325672, 1107010.798648427 311542.478323504, 1107014.244981653 311510.2432874353, 1107002.476261548 311452.7087320047, 1107028.072170248 311364.7992873319, 1107043.273612692 311350.0288401314)",C-C,1.0,4.0
0,67073.25329523308,19874,20669,5472.257172371819,"LINESTRING (1104430.119647918 311800.7322670922, 1104420.052795279 311788.7528894446, 1104401.10201889 311798.185932652, 1104383.712934066 311792.6242075543, 1104381.456846743 311758.3714718033, 1104394.622542359 311728.1689347617, 1104363.718157255 311693.2828185196, 1104552.575831638 311507.9375994949, 1104830.24862043 311510.3286781513, 1105285.923696468 311406.5582877998, 1105656.526371226 311304.7648167376, 1105965.268724483 311370.4592238523, 1106167.476298045 311420.1802937055, 1106578.749208614 311562.3848892183, 1106779.827589013 311627.7012993547, 1107031.899892332 311671.1339217306, 1107092.213344269 311681.5235061436, 1107255.203041687 311658.9715714325, 1107301.445200544 311652.5705281047, 1107389.690625315 311611.6782767023, 1107425.63032931 311595.0283962988, 1107802.582895018 311423.0641870691, 1107831.780197436 311401.3753913152, 1107920.377028863 311335.569052736, 1108409.756705461 310943.9935737107, 1108518.121246116 311064.7453569041, 1108718.121246116 311264.7453569041, 1108993.171047675 311358.6685146076, 1108992.125952229 311377.0510073141, 1108952.840102009 311502.885828317)",C-C,1.0,5.0
0,29695.484029072482,19858,20751,2092.0468200280493,"LINESTRING (1100612.824715289 311723.9996633477, 1100645.4836956 311759.9872401449, 1100619.63320305 311779.0316910102, 1100630.373281139 311798.3130341098, 1100599.862297182 311804.5620847159, 1100559.556910906 311853.3151700891, 1100528.931227459 311857.2635556691, 1100526.466894004 311876.9264924471, 1100467.758807698 311858.5169515227, 1100401.158324241 311826.8282546015, 1100211.700803246 311726.8969391799, 1100014.522542118 311600.8457185799, 1099841.127938216 311489.618315844, 1099657.766288063 311366.5176956274, 1099518.121246116 311464.7453569041, 1099318.121246116 311664.7453569041, 1099166.549855653 311836.4891188503, 1099190.604654484 311934.6126028949, 1099207.739738067 311937.6937940767, 1099235.338565707 311920.0848368964)",C-C,1.0,6.0
0,322003.7263211071,16571,20869,27364.889722696546,"LINESTRING (1104040.087932202 311452.0395554678, 1104071.504493271 311455.7221949366, 1104100.877627155 311458.1203254901, 1104092.541819389 311489.8359701407, 1104104.569363072 311519.4871811505, 1104104.639414115 311560.7533611768, 1104099.676093879 311603.7550852512, 1104098.494466078 311634.4616549084, 1104098.0035289 311665.5530122831, 1104086.944200413 311693.3006137121, 1104066.437139625 311718.2029205563, 1104072.323444013 311748.3374403871, 1104090.582254742 311774.1926504385, 1104077.25812617 311801.9669143396, 1104070.704766947 311830.6940560671, 1104059.798973325 311859.6242857245, 1104102.082500478 312053.6329728758, 1104098.107709881 312255.8953199034, 1104088.226383561 312285.8446985373, 1104077.357223354 312322.9369970883, 1104051.818999549 312349.0813566007, 1104031.851031854 312376.750056372, 1104031.911708518 312411.8923611284, 1104029.519076797 312459.391798048, 1104029.591131494 312500.1088563092, 1104033.649097204 312528.9133515197, 1104044.774613402 312559.2305959784, 1104066.314299338 312579.7872137687, 1104052.299494878 312607.1206764081, 1104050.392907961 312636.6698008114, 1104047.518609524 312669.0436373654, 1104039.923742476 312698.2963062956, 1104026.607161073 312712.3709788381, 1104089.806416233 312703.2942387314, 1104134.74867272 312698.1527498649, 1104184.773290923 312694.812583753, 1104256.61878554 312699.9131574018, 1104295.22134481 312705.7426378988, 1104363.158842332 312714.0916964145, 1104453.159746803 312719.0445618295, 1104486.206323667 312720.3157824277, 1104539.496318667 312721.1604327418, 1104612.302677614 312714.9673388674, 1104730.353117918 312701.2332068208, 1104840.896999013 312689.8465785493, 1105033.28538414 312662.7884425967, 1105156.857513832 312645.1435418164, 1105214.869776991 312636.8711778558, 1105252.713186991 312633.0555395471, 1105322.136481545 312626.0650776129, 1105502.511085957 312604.8888512104, 1105601.797791962 312601.6492825181, 1105656.454687824 312600.5648651722, 1105703.775658449 312599.2972241852, 1105743.00438161 312599.4808293228, 1105774.443129447 312600.5121407256, 1105804.82608363 312603.1858444962, 1105837.861382756 312613.0103908174, 1105885.725260135 312625.7336906321, 1106005.395197361 312650.3804425514, 1106046.287550222 312663.043287935, 1106082.827802901 312677.8170702932, 1106131.541830651 312698.8649693544, 1106192.817744242 312723.2478365481, 1106247.820787658 312742.249859785, 1106312.629953887 312763.5408882442, 1106387.455828132 312788.1177897865, 1106451.749764244 312809.5368588825, 1106510.055350612 312826.7676754405, 1106603.956463783 312854.7196975559, 1106666.429909444 312873.2359736445, 1106697.867670407 312882.5323073972, 1106731.044240173 312896.2111336107, 1106767.756329898 312922.2663527739, 1106862.691212247 313001.1612799975, 1106879.434145412 312997.9746071013, 1106899.223434044 312993.2033052412, 1106910.98812914 312992.533086509, 1106908.803362785 313013.1634811804, 1106894.549630331 313022.5216998196, 1106876.083077471 313038.7605493718, 1106907.920360052 313051.8583801243, 1106940.368540048 313071.1748065082, 1106948.154719685 313072.5964739458, 1106956.505574024 313077.8911920917, 1106967.230621769 313082.6684381717, 1106980.723396947 313081.5159409039, 1106982.681111351 313086.048794177, 1106989.564744486 313082.3654193371, 1106999.267790189 313095.756982448, 1106992.692850889 313106.6906735485, 1106990.998580507 313115.2388673397, 1106990.510219513 313131.0231563365, 1106987.067116656 313143.3865929511, 1106987.065361226 313148.9141254526, 1106996.828174231 313150.4089442557, 1106998.639078409 313142.5996020167, 1107005.827156438 313138.8498634365, 1107011.41349943 313146.7169585956, 1107019.89759467 313151.0163536386, 1107028.122102712 313149.3499955083, 1107028.19440594 313154.3682134209, 1107037.39578281 313153.2569124541, 1107038.802740942 313144.1524408766, 1107041.298678401 313136.9797450692, 1107031.67431258 313132.7732957517, 1107036.721324345 313126.2878145258, 1107043.70704196 313122.6162978608, 1107045.820533324 313112.2329835489, 1107048.7277958 313103.2371931585, 1107055.281418673 313107.4166535501, 1107066.035795463 313109.6431633625, 1107073.194630999 313085.5321541615, 1107134.942886759 313103.0776543166, 1107229.762671859 313128.8013845354, 1107295.554754559 313148.1437116998, 1107362.547481517 313166.9054048435, 1107623.102255999 313227.0358232143, 1107754.144012557 313253.8242122523, 1107978.510964888 313303.9572737384, 1108086.491355699 313329.3067666247, 1108167.23150243 313348.2270983004, 1108221.411596646 313361.3356556417, 1108264.325383263 313374.1677998835, 1108369.771399248 313399.2079746788, 1108411.956848321 313407.7368183742, 1108489.424679429 313428.0289012316, 1108543.538340919 313447.3267698431, 1108627.266984458 313473.6052285185, 1108729.555679478 313501.4512209331, 1108760.961863922 313509.6316060319, 1108859.086205911 313531.5107640274, 1108921.028331132 313541.920158997, 1108953.925373199 313549.511997286, 1109000.890853142 313562.5313021395, 1109196.165012106 313620.5540790519, 1109232.048829386 313633.8190676263, 1109263.744793883 313644.0859273438, 1109299.020332166 313657.3480873679, 1109337.878346659 313672.9912812919, 1109378.527516752 313689.8436265184, 1109406.311198815 313702.1769497287, 1109437.143130388 313717.056317417, 1109505.81496008 313751.1296667125, 1109545.544429724 313770.509434451, 1109582.592650196 313788.899277522, 1109622.471571566 313812.3006449469, 1109657.706470276 313834.1722800091, 1109685.702708739 313851.0395199436, 1109713.409444904 313863.8194284386, 1109742.792250676 313874.438639118, 1109773.826949888 313880.0954835457, 1109804.668147467 313883.1360205424, 1109974.335049422 313975.4223952247, 1110140.075519472 314106.3450694724, 1110333.613888564 314278.1675207462, 1110357.914079418 314300.8163567195, 1110377.954015026 314323.8917744333, 1110409.637583697 314352.5976697578, 1110454.176227917 314386.0556009397, 1110613.940133262 314512.1311628254, 1110818.918204983 314486.0284199647, 1110959.909348306 314452.3433797596, 1110998.392502542 314450.431904008, 1111028.934869839 314453.4157870356, 1111104.504455334 314463.8828353912, 1111136.994755371 314464.63285682, 1111164.166497119 314465.9626210674, 1111207.047942122 314468.093023676, 1111246.882742719 314469.3154295611, 1111312.612893231 314470.6701989402, 1111348.625639664 314470.7017071606, 1111390.039696324 314468.5064266429, 1111423.517191343 314466.3665156669, 1111462.026521318 314460.974206789, 1111512.698694258 314448.4913740363, 1111554.929729501 314431.9567864148, 1111606.402576207 314408.5597715233, 1111636.286573588 314390.6261644031, 1111711.043816092 314320.1122234856, 1111760.076649653 314274.5231263647, 1111820.672257649 314222.0918641379, 1111848.769596407 314200.05425208, 1111920.205826451 314137.1752159939, 1111946.692538587 314109.4242277428, 1111971.895783146 314081.9463590829, 1112015.853127368 314033.0751636071, 1112047.296965319 314002.0526976121, 1112073.071429488 313982.3960391368, 1112104.859394887 313959.7149718144, 1112140.978382403 313937.5012377473, 1112175.511365228 313918.1746892484, 1112229.754498734 313908.6963592306, 1112261.588281097 313905.9435347688, 1112297.02275238 313903.729059922, 1112347.936915703 313903.5241675417, 1112395.627077639 313904.2719930236, 1112443.768576915 313904.5845121288, 1112481.054990271 313904.6034603442, 1112514.907892201 313902.3908286068, 1112552.948515424 313899.2952415801, 1112617.683136397 313891.8680581553, 1112648.087642499 313888.5965762413, 1112727.794509313 313881.6780613426, 1112782.622095073 313877.3312872112, 1112823.368471596 313872.098486386, 1112867.596082336 313863.0101479508, 1112916.59586784 313856.1039415144, 1112959.293794337 313851.8391553257, 1112999.142342739 313848.4636983274, 1113046.46521124 313845.8591211765, 1113085.852034188 313847.0889229664, 1113119.818934131 313852.4629247163, 1113154.687185463 313857.2362106334, 1113191.128067036 313861.9518359393, 1113234.162723176 313865.6377360329, 1113265.452017466 313867.2758680013, 1113320.878339598 313863.0810480734, 1113357.434877719 313859.2432419732, 1113401.619056651 313855.4324290485, 1113463.503063502 313849.332313858, 1113501.259057839 313845.2023835445, 1113538.717758327 313840.6149517055, 1113585.161800598 313835.9306707416, 1113618.861207122 313832.6657144745, 1113657.811754478 313829.2768302895, 1113701.704703106 313827.7079322982, 1113739.147931317 313826.396891805, 1113782.73421468 313824.3797708006, 1113819.883673564 313821.8759201693, 1113871.862153576 313818.5491105746, 1113935.977826594 313813.6418914561, 1113980.31775394 313808.6591335132, 1114017.634548408 313804.4527401687, 1114056.806066197 313801.884101621, 1114130.267594298 313799.8418124545, 1114197.507441525 313797.3417487317, 1114427.807412466 313770.9241601193, 1114630.058089321 313732.7471956488, 1114882.101123767 313716.2630924843, 1115065.417086341 313713.8607222008, 1115162.567760533 313698.2580466813, 1115243.462349056 313684.3743484854, 1115389.589821312 313659.324764342, 1115522.221579615 313636.1655800055, 1115694.010222269 313602.0233176192, 1115789.167826788 313588.4963480344, 1115962.167911384 313549.7523175207, 1116039.211475638 313535.0312402163, 1116214.525633067 313513.6212220197, 1116399.7198836 313475.4568114374, 1116459.500058265 313469.5708305397, 1116491.507582211 313464.2224212617, 1116711.980268275 313423.9274441408, 1116842.252055396 313397.7693565307, 1116917.664878922 313379.8291978351, 1116967.004499618 313365.1899798997, 1117049.651839048 313337.6128485927, 1117144.018335217 313302.077063494, 1117220.234952332 313270.7550512609, 1117286.722132869 313240.419762365, 1117347.5124201 313213.3431401597, 1117431.557872376 313175.3656017909, 1117520.552459532 313135.9223000585, 1117615.632059869 313094.3205143251, 1117778.656753624 313026.9327612779, 1117954.80813447 312954.8788285095, 1118275.920632889 312854.8097500795, 1118375.056081479 312826.5756904581, 1118516.990329395 312771.9140133247, 1118576.949822784 312758.3679376708, 1118660.075006959 312758.616488256, 1118873.658080349 312753.5408061288, 1118903.062533882 312742.8181310717, 1119003.884066122 312704.7713973332, 1119092.387188997 312674.699187381, 1119184.170535303 312647.6959409814, 1119261.241439347 312628.1996726182, 1119843.299202956 312631.0418501875, 1120517.319220882 312489.0698139138, 1120779.719546499 312389.0544987186, 1121033.117556002 312363.0122379227, 1121160.114640573 312365.9949815335, 1121368.539677938 312376.5271592758, 1121480.933700029 312424.6640191401, 1121590.817262421 312496.6019196506, 1121686.760356491 312526.2188714409, 1122016.365737413 312578.1462600935, 1122227.68366709 312735.073175716, 1122368.655716839 312820.251466958, 1122600.51919357 312940.3867637268, 1122764.074402415 313061.3764668782, 1122870.407613901 313126.1512593169, 1123086.798940093 313224.7846574557, 1123216.010080209 313262.310387534, 1123579.776718793 313362.8392650469, 1123927.59683248 313538.2998157814, 1124227.001631834 313567.1177271069, 1124437.266023797 313694.289013578, 1124535.303644618 313736.4240387013, 1124642.826447774 313801.208918286, 1124678.538318665 313851.3744984931, 1124690.352667148 313885.9424552902, 1124700.936329894 313925.2802906522, 1124713.992757584 313952.7138249392, 1124758.095966553 313998.1537240885, 1124950.691434685 314064.5437123742, 1125371.821043362 314195.1355754609, 1125490.25465661 314233.7968117761, 1125572.598728088 314302.0368572084, 1125764.80992684 314445.7920512384, 1125916.688415928 314506.0388476456, 1126105.276820075 314409.3617016266, 1126177.465035029 314346.6388658541, 1126408.920629176 314060.909729855, 1126536.426210902 313959.1769600687, 1126518.121246116 313664.7453569041, 1126518.121246116 313464.7453569041, 1126318.121246116 313264.7453569041, 1126209.850231445 313149.5393245475, 1126118.121246116 312864.7453569041, 1125975.674563907 312608.0439628639)",C-C,1.0,8.0
0,39099.81073780806,16571,20885,3522.7319835102776,"LINESTRING (1104040.087932202 311452.0395554678, 1104071.504493271 311455.7221949366, 1104100.877627155 311458.1203254901, 1104092.541819389 311489.8359701407, 1104104.569363072 311519.4871811505, 1104104.639414115 311560.7533611768, 1104099.676093879 311603.7550852512, 1104098.494466078 311634.4616549084, 1104098.0035289 311665.5530122831, 1104086.944200413 311693.3006137121, 1104066.437139625 311718.2029205563, 1104072.323444013 311748.3374403871, 1104090.582254742 311774.1926504385, 1104077.25812617 311801.9669143396, 1104070.704766947 311830.6940560671, 1104059.798973325 311859.6242857245, 1104102.082500478 312053.6329728758, 1104098.107709881 312255.8953199034, 1104088.226383561 312285.8446985373, 1104077.357223354 312322.9369970883, 1104051.818999549 312349.0813566007, 1104031.851031854 312376.750056372, 1104031.911708518 312411.8923611284, 1104029.519076797 312459.391798048, 1104029.591131494 312500.1088563092, 1104033.649097204 312528.9133515197, 1104044.774613402 312559.2305959784, 1104066.314299338 312579.7872137687, 1104052.299494878 312607.1206764081, 1104050.392907961 312636.6698008114, 1104047.518609524 312669.0436373654, 1104039.923742476 312698.2963062956, 1104026.607161073 312712.3709788381, 1104089.806416233 312703.2942387314, 1104134.74867272 312698.1527498649, 1104184.773290923 312694.812583753, 1104256.61878554 312699.9131574018, 1104295.22134481 312705.7426378988, 1104363.158842332 312714.0916964145, 1104453.159746803 312719.0445618295, 1104486.206323667 312720.3157824277, 1104539.496318667 312721.1604327418, 1104612.302677614 312714.9673388674, 1104730.353117918 312701.2332068208, 1104840.896999013 312689.8465785493, 1105033.28538414 312662.7884425967, 1105156.857513832 312645.1435418164, 1105214.869776991 312636.8711778558, 1105252.713186991 312633.0555395471, 1105322.136481545 312626.0650776129, 1105502.511085957 312604.8888512104, 1105518.121246116 312464.7453569041, 1105615.176524014 312265.8408748949, 1105492.889516136 312156.7218615386, 1105393.777131579 312147.6990644021, 1105376.477679896 312131.3448771241)",C-C,1.0,9.0
0,19534.569291267777,20340,21320,456.6354908077892,"LINESTRING (1103995.699589294 313469.9894084687, 1104118.121246116 313464.7453569041, 1104318.121246116 313464.7453569041, 1104435.315398847 313529.9278792425)",C-C,1.0,11.0
0,7268.1113207772605,19022,16511,726.8111320777261,"LINESTRING (1103495.905130481 312849.8469419308, 1103546.398498197 312830.166453358, 1103550.204707647 312828.6858526384, 1103589.795767884 312813.1052222619, 1103621.004447492 312801.0498996772, 1103661.18991064 312788.4501533567, 1103705.580207251 312773.1804128202, 1103801.801166496 312752.5127728716, 1103857.251617456 312741.473342018, 1103973.982961218 312721.3388908083, 1104026.607161073 312712.3709788381, 1104039.923742476 312698.2963062956, 1104047.518609524 312669.0436373654, 1104050.392907961 312636.6698008114, 1104052.299494878 312607.1206764081, 1104066.314299338 312579.7872137687, 1104044.774613402 312559.2305959784)",C-C,1.0,13.0
0,28733.13462627892,16680,22280,1035.8926160473009,"LINESTRING (1100983.519625849 312118.8562239463, 1100946.108241485 312094.5981830391, 1100918.121246116 312264.7453569041, 1100718.121246116 312464.7453569041, 1100518.121246116 312664.7453569041, 1100334.497423312 312811.9555725585, 1100345.688850195 312798.0648296634)",C-C,1.0,15.0
