ID1,ID2,Cost
19365,20347,40475.70716106823
19874,20503,16982.379583703314
19874,20581,34271.41538808295
19874,20669,67073.25329523308
19858,20751,29695.48402907248
16571,20869,322003.7263211071
16571,20885,39099.81073780806
20340,21320,19534.569291267777
19022,16511,7268.1113207772605
16680,22280,28733.13462627892
20172,22450,23117.808883200916
20189,22931,14822.822973344351
20340,23239,21911.55693572233
20458,20751,21056.755384925556
20503,20581,21948.94577628144
20503,20885,21773.790543195108
20527,20669,23384.332345395942
16551,20901,74664.20375454926
16551,20953,15869.218705394873
20527,22103,69772.34328592951
20653,20815,98884.16825666963
20712,20869,313345.317512394
20698,20935,43464.50753949372
20712,22103,27135.442424010653
20735,21533,13218.861791418809
20735,22316,58929.98689050269
20776,20869,306625.61883160897
20815,20935,99693.0525562283
20815,22399,83132.39754644327
20776,23393,149206.382615446
20869,22367,26688.27950800525
20869,16097,61949.104206194
20869,22996,52678.772248675006
20901,18995,8508.203493961091
20885,22072,14681.77042119186
20935,22103,47421.449389751135
20935,22399,59883.377075775374
20935,22514,51148.72217672249
21035,22072,4876.902669521709
17652,22149,8576.053191427769
21407,23278,19774.14976474965
17646,17631,13504.451213547358
21488,23438,21253.508222781544
21553,22316,26834.576763124318
21741,22481,50536.550227757034
21741,22969,19486.19834511417
15788,23062,60256.76889784615
17409,17063,26590.29784430964
21765,15868,94177.95473961426
22035,25022,23687.014094561266
18951,22514,6679.982524040583
22259,17631,14353.40666018915
22259,23896,129979.1118346716
22303,22450,23153.587831800756
22367,16097,35260.82469818875
22367,22996,25990.492740669764
22428,22533,21968.702634317877
22418,23393,91094.62902279594
22428,23705,93995.89329862273
22481,22969,38281.420122988464
22533,23705,86352.62950691298
22533,23879,129047.38214750482
16097,23021,8047.749136063707
22813,23810,9416.34391233346
22894,25502,141210.86472671508
22931,23239,24058.266036854428
22969,23577,53046.44061720557
22969,23591,21837.748656080934
23226,24237,34176.92766980074
23062,15868,60018.63114402722
23278,18108,12255.726870908753
23287,23577,37588.513364417864
23337,23532,61342.5072032245
23379,23896,95264.21331697029
17618,23943,43243.389312917614
17618,24940,51349.11402437647
23393,23705,139857.28222762403
23393,17123,137668.92108834867
23408,25868,226915.04355142254
23408,26303,273609.28727837355
18108,23577,44050.38601289607
18108,15951,16394.1931525147
18098,23961,13890.680773674972
23577,23591,49869.15723788488
23577,15951,37455.384044847546
23577,24070,52382.71124745212
23669,24084,44403.08441407666
17063,25022,60202.46659209348
17063,25325,93337.60217533114
23705,23879,56956.67184019605
23794,17123,38769.699030255964
23848,25441,71403.48476831347
17814,25502,135751.3918196374
23848,25868,141632.76022467818
23896,24933,57795.16740273254
23879,25353,89703.36869415343
23937,23961,11906.897559788864
15951,24070,14374.341524468617
23961,24070,43822.37457940061
17348,24980,119342.63025590025
17348,25190,29651.683473803463
24057,25325,113694.26467873571
24084,25325,136034.08879658193
24359,15852,89624.16471043127
24396,25300,12564.527554604983
16181,25667,17640.618603306102
16181,25894,66637.68116313944
24896,25022,98058.15392740432
15852,25316,63738.50857046231
24896,25325,133245.256242907
15852,15789,46415.67292722278
24980,25080,33745.93435041624
24980,25410,43163.18494799706
24957,25479,18500.50739806332
24980,15107,11987.034831033276
25028,25325,24198.985369854898
25190,25325,128934.21103775241
17858,25531,21229.48225899019
25190,16301,111623.83843054296
25300,25667,46521.07582381866
25325,15789,210786.0293387306
25338,17297,177684.30612294035
25338,18269,169800.48816240052
25410,25492,27592.817038019413
25410,25582,15503.657791598378
25410,25972,74613.29775571925
25410,26271,140979.51076150595
25410,26303,187793.48262465704
25441,25502,110968.01275516034
25458,25628,19161.065784928192
25458,25868,52777.986658859765
25479,15116,16722.191627667587
25521,25628,107965.28362422297
25521,25829,162491.43754406675
25582,25972,64965.03946631952
15190,16301,50600.313906330965
25647,25829,42552.02220137008
25647,25868,21642.789155457864
25689,25894,35994.52669487832
25829,25868,37024.792923946115
25829,26304,305041.05847650877
25829,26449,413843.6985476447
25868,26304,269899.4460053243
25906,18564,477131.1838303605
25906,26496,708298.3849426715
25972,16301,73159.20941497742
25972,26271,41643.51838605596
17297,18269,7883.817960539849
16301,26271,56583.642558017404
16301,26379,193228.22576221265
16301,18564,160986.3828170699
15408,26303,106080.71500911523
15408,26338,133600.01627697627
26303,26379,133764.16200875482
26303,18564,108624.69692347424
26303,26449,110139.48870376444
26303,26488,325176.7890611916
26379,26433,17600.405008892125
18564,26496,268491.66509999725
26449,26488,216658.73877711626
19365,26498,157130.82954709485
20389,26498,87747.84567726702
20735,26498,89002.4214991741
20776,26499,154856.3557449267
20869,26499,152256.54429089182
15788,26498,77476.44776035819
16087,26499,74149.69562165257
23062,26498,46691.31558710267
23408,26499,56068.53540263712
23810,26499,114336.19996119328
24237,26498,106247.32524756328
25502,26497,718042.4735460746
25829,26497,677378.7043813991
25868,26499,171333.78935299505
25906,26497,786623.289620777
26449,26497,288657.99320118054
26488,26497,111288.50130904104
