Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
40.0,0.0,1392,1.7549809641451448,1.6246032141601863,16246.032141601863,0.5020548844484692,50,1500
40.0,1.0,802,1.0108231810836104,1.5058960699738273,15058.960699738273,0.6637821667154403,50,1500
40.0,2.0,993,1.2514443344253678,1.4175330211761914,14175.330211761915,0.36377393213861753,50,1500
40.0,3.0,949,1.1958466282406368,1.2644686953824413,12644.686953824414,0.3827361752048185,50,1500
40.0,4.0,666,0.8399188472988369,0.9152527386483623,9152.527386483624,0.3844898723135049,50,1500
40.0,5.0,559,0.7039334305771836,0.8512404712894188,8512.404712894187,0.3756784178305865,50,1500
40.0,6.0,508,0.6403769054928341,0.8400024110190998,8400.024110190996,0.32644036464260556,50,1500
40.0,7.0,275,0.346506543889776,0.7348603516695608,7348.603516695607,0.26283136051603084,50,1500
