Cluster,Sub_cluster,Population,Load [kW],Grid_Length [km],Grid Cost [euro],Max length [km],Transformer_rated_power [kVA],Cost[euro]
31.0,0.0,1126,1.41941739675161,1.8654800559206408,18654.800559206407,0.4899567178255735,50,1500
31.0,1.0,827,1.0419816348788975,1.2190489887524505,12190.489887524504,0.44991021127904907,50,1500
31.0,2.0,439,0.5529859181996938,0.43127148806858134,4312.714880685814,0.28703638400632137,50,1500
31.0,3.0,154,0.1931192566467835,0.5249069789329562,5249.069789329562,0.4485702502670509,50,1500
