ID1,ID2,Length
15876.0,15884.0,336038.408960566
15884.0,19376.0,349192.2602046093
19376.0,15904.0,548918.093344142
15904.0,15908.0,197608.508365295
15908.0,15918.0,454815.588911377
15918.0,15923.0,230468.829194744
15923.0,15925.0,69094.580674428
15925.0,19624.0,508119.9556321007
15876.0,19202.0,29338.910923528798
15876.0,19201.0,501499.4726589486
19201.0,19322.0,330809.2231972622
19322.0,19365.0,622082.8927032088
15884.0,19257.0,74287.02586526552
19257.0,19258.0,372876.44185349316
19258.0,19180.0,426017.90702487226
19180.0,19198.0,98419.28190744396
19469.0,19491.0,331174.64812561177
19491.0,15904.0,86497.11957665575
19201.0,19228.0,113348.82302745029
19332.0,19375.0,559628.4364744534
19375.0,19503.0,459154.9115085485
16645.0,16837.0,273840.17703318
16837.0,20066.0,241877.17876212453
16645.0,15577.0,287423.911541991
15577.0,19022.0,407761.21756548487
19022.0,18085.0,331280.39336628496
18085.0,20309.0,222668.69397495603
16775.0,16776.0,35143.13569733
16775.0,19706.0,418349.55967753293
19706.0,16579.0,699224.237043697
16579.0,19673.0,158055.18994296118
16775.0,15925.0,648317.816625161
19341.0,19375.0,144117.75107748655
19341.0,19474.0,604537.777818658
19474.0,19481.0,63955.972663744855
19481.0,15923.0,417516.9643391644
19341.0,19214.0,528715.6665254184
19729.0,16757.0,53329.216189264596
16757.0,16702.0,399982.450639317
16702.0,16714.0,653530.547099308
16714.0,15918.0,501388.6597112759
19729.0,19651.0,775240.471037875
19858.0,19048.0,608101.5286036627
19048.0,19863.0,377383.05493390403
19858.0,19695.0,802758.9343286518
19224.0,19257.0,102121.79663080099
19481.0,19291.0,528581.0469121783
19868.0,16828.0,436115.68378181604
16828.0,16837.0,386363.815855645
20125.0,20172.0,144654.715883795
20125.0,20075.0,269472.80172253365
20125.0,19037.0,368133.71360953583
19037.0,19038.0,48391.857317194
19038.0,16680.0,601180.800189564
16680.0,16746.0,1050235.146584124
16746.0,16824.0,96909.943822421
19874.0,16571.0,693092.791287194
