ID1,ID2,Cost
15876.0,15884.0,3360384.08960566
15884.0,19376.0,3491922.602046093
19376.0,15904.0,5489180.93344142
15904.0,15908.0,1976085.08365295
15908.0,15918.0,4548155.88911377
15918.0,15923.0,2304688.29194744
15923.0,15925.0,690945.80674428
15925.0,19624.0,5081199.556321007
15876.0,19202.0,293389.109235288
15876.0,19201.0,5014994.726589486
19201.0,19322.0,3308092.2319726218
19322.0,19365.0,6220828.927032086
15884.0,19257.0,742870.2586526552
19257.0,19258.0,3728764.4185349317
19258.0,19180.0,4260179.070248723
19180.0,19198.0,984192.8190744396
19469.0,19491.0,3311746.481256118
19491.0,15904.0,864971.1957665577
19201.0,19228.0,1133488.230274503
19332.0,19375.0,5596284.364744535
19375.0,19503.0,4591549.115085485
16645.0,16837.0,2738401.770331799
16837.0,20066.0,2418771.7876212457
16645.0,15577.0,2874239.11541991
15577.0,19022.0,4077612.17565485
19022.0,18085.0,3312803.93366285
18085.0,20309.0,2226686.9397495603
16775.0,16776.0,351431.3569733
16775.0,19706.0,4183495.596775329
19706.0,16579.0,6992242.370436973
16579.0,19673.0,1580551.8994296119
16775.0,15925.0,6483178.16625161
19341.0,19375.0,1441177.5107748655
19341.0,19474.0,6045377.77818658
19474.0,19481.0,639559.7266374485
19481.0,15923.0,4175169.6433916437
19341.0,19214.0,5287156.665254184
19729.0,16757.0,533292.161892646
16757.0,16702.0,3999824.50639317
16702.0,16714.0,6535305.470993078
16714.0,15918.0,5013886.59711276
19729.0,19651.0,7752404.71037875
19858.0,19048.0,6081015.286036627
19048.0,19863.0,3773830.549339041
19858.0,19695.0,8027589.343286513
19224.0,19257.0,1021217.9663080102
19481.0,19291.0,5285810.469121784
19868.0,16828.0,4361156.837818162
16828.0,16837.0,3863638.15855645
20125.0,20172.0,1446547.15883795
20125.0,20075.0,2694728.017225336
20125.0,19037.0,3681337.1360953576
19037.0,19038.0,483918.57317193993
19038.0,16680.0,6011808.001895639
16680.0,16746.0,10502351.46584124
