ID,MV_Power
15876.0,0.0
15884.0,0.0
15904.0,0.0
15908.0,0.0
15923.0,0.0
16579.0,0.0
16680.0,0.0
16746.0,0.0
16757.0,0.0
16775.0,0.0
16828.0,0.0
16837.0,0.0
19022.0,0.0
19032.0,0.0
19034.0,0.0
19037.0,0.0
15577.0,0.0008
15918.0,0.0
15925.0,0.0
16571.0,0.0016
16645.0,0.0008
16702.0,0.0008
16714.0,0.0008
16776.0,0.0008
16824.0,0.0016
18085.0,0.0
19038.0,0.0016
19048.0,0.0
19117.0,0.0008
19118.0,0.0008
19149.0,0.0008
19168.0,0.0008
19198.0,0.0008
19202.0,0.0008
19214.0,0.0008
19224.0,0.0008
19228.0,0.0008
19258.0,0.0008
19291.0,0.0008
19322.0,0.0016
19332.0,0.0008
19341.0,0.0
19365.0,0.0008
19393.0,0.0016
19426.0,0.0008
19469.0,0.0008
19474.0,0.0008
19491.0,0.0016
19503.0,0.0008
19540.0,0.0008
19547.0,0.0008
19624.0,0.0008
19651.0,0.0008
19673.0,0.0008
19695.0,0.0016
19706.0,0.0008
19729.0,0.0008
19858.0,0.0008
19863.0,0.0008
19868.0,0.0008
19874.0,0.0008
19911.0,0.0008
19950.0,0.0008
20007.0,0.0016
20059.0,0.0008
20066.0,0.0008
20075.0,0.0008
20133.0,0.0008
20151.0,0.0
20172.0,0.0008
20192.0,0.0008
20219.0,0.0008
20309.0,0.0008
20340.0,0.0008
19123.0,0.0
19150.0,0.0
19167.0,0.0
19180.0,0.0
19201.0,0.0
19257.0,0.0
19375.0,0.0
19376.0,0.0
19388.0,0.0
19481.0,0.0
20125.0,0.0
20189.0,0.0
20935.0,0.0016
17651.0,0.0
17652.0,0.0
18967.0,0.0
18974.0,0.0
18985.0,0.0
17646.0,0.0008
18995.0,0.0008
20953.0,0.0008
20959.0,0.0008
20984.0,0.0008
20993.0,0.0008
21035.0,0.0008
21039.0,0.0008
21041.0,0.0008
21056.0,0.0008
21142.0,0.0032
21202.0,0.0008
21306.0,0.0008
21320.0,0.0008
21322.0,0.0008
21333.0,0.0016
21407.0,0.0008
21448.0,0.0032
21460.0,0.0016
21463.0,0.0016
21488.0,0.0016
20987.0,0.0
21189.0,0.0
21375.0,0.0
21387.0,0.0
15511.0,0.0
15512.0,0.0
15787.0,0.0
15788.0,0.0
17398.0,0.0
17403.0,0.0
17409.0,0.0
17473.0,0.0
17482.0,0.0
17778.0,0.0
17779.0,0.0
17785.0,0.0
17786.0,0.0
17791.0,0.0
21533.0,0.0016
21553.0,0.0008
21556.0,0.0008
21569.0,0.0008
21588.0,0.0008
21603.0,0.0008
21636.0,0.0008
21681.0,0.0008
21703.0,0.0008
21706.0,0.0008
21738.0,0.0008
21741.0,0.0008
21765.0,0.0008
21772.0,0.0016
21825.0,0.0016
21834.0,0.0008
21855.0,0.0008
21880.0,0.0016
21897.0,0.0016
21934.0,0.0016
21958.0,0.0008
22020.0,0.0008
22035.0,0.0016
21635.0,0.0
21701.0,0.0
21879.0,0.0
16511.0,0.0008
19006.0,0.0008
22072.0,0.0008
18958.0,0.0
18960.0,0.0
18951.0,0.0008
22103.0,0.0008
22113.0,0.0008
22148.0,0.0008
22149.0,0.0008
22174.0,0.0016
22223.0,0.0008
22259.0,0.0016
22273.0,0.0008
22126.0,0.0
22245.0,0.0
22280.0,0.0008
22293.0,0.0008
22303.0,0.0008
22316.0,0.0016
22283.0,0.0
22295.0,0.0
22367.0,0.0016
